User,Message,Sentiment
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
sakul2208,ได้รับแล้ววันนี้​ เนื้อผ้าดีคุ้มราคามากๆ​ยิ่งได้ส่วนลดจากลาซาด้ายิ่งถูกมาก​ ซื้อครั้งที่สองแล้ว,Negative
Thapakorn K.,ตรงปกมากเสื้อบางดีชอบค่ะ,Negative
Chinjung J.,ดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะดีๆๆชอบบๆๆๆๆส่งเร็วดีค่ะ,Negative
ว***.,เนื้อผ้าดีมากสั่งหลายรอบแล้ว,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
