User,Message,Sentiment
จิรายุ ภ.,กระจกหน้าปัดแตกครับ,Negative
0***3,แพ็คของไม่ดีเลยค่ะ แตกหมดเลยค่ะ😭,Negative
คุณเพชรรัตน์ ศ.,เข็มวินาทีหลุด,Negative
*******614,หัก4ดาวครับ กระจกหน้าปัดราฬิกาแตก ไม่รู้เป็นที่ขนส่งหรือทางร้าน แต่เสียความรู้สึกมาก คงไม่สั่งของทางร้านนี้อีกแล้ว จบ,Negative
saijai W.,มาถึงอย่างที่เห็นเลยแตกยับเลยคิดอยู่แล้วกระจกต้องแตกแน่นอนมันดังก๊อกแก๊กๆแล้วตอนที่พนักงานส่งของยื่นให้ไม่รู้แตกที่ขนส่งหรือที่ร้าน,Negative
Aot 8.,สินค้าแตก เสียหายหน้าจะเกิดจากการขนส่ง กระจกแตก,Negative
Chaisuriya J.,แกะมาก็เสียไม่เดินเสียเวลาซื้อถ่านมาใส่หลายรอบของไม่มีคุณภาพ,Negative
Wannee Y.,มาถึงกระจกเเตกใช้ไม่ได้ค่ะ,Negative
6***7,แตกยับเลยจร้า แบบนี้ใครรับผิดชอบคะ,Negative
0***0,ของไม่ตรงปกครับ ของถึงแตกยับเลยครับ ไม่น่าได้ใช้ครับ,Negative
รุ่งตะวัน​ ส.,สภาพแตกเสียความรุ้สึกมากๆ,Negative
An,แตกแหลกละเอียดตั้งแต่อยู่ในกล่องแกะออกมาตามภาพครับ,Negative
นันทิดา,สินค้ากระจกแตกคะ,Negative
8***6,เข็มค้างตลอดเวลา,Negative
k***.,นาฬิกากินถ่านวันละก้อนเลยครับ,Negative
พัชรี ท.,"เดินๆหยุดๆ ต้องคอยเคาะถึงจะเดิน
เหนื่อยใจ ปลดระวางละ
แต่ร้านบริการดีนะ สินค้าห่อมาอย่างดี
ส่งเร็วด้วย 
แต่ไม่รู้จะแก้ไขยังไง ให้มันเดินตลอด",Negative
วรรณา เ.,ห่วยแตก..ไม่ให้ดาวเลยได้ไหม..สินค้าเสียใช้ไม่ได้ ใส่ถ่านใหม่ก็ใช้ไม่ได้ ทำไมไม่ตรวจสอบสินค้าก่อนส่ง เสียตังซื้อมาทิ้ง ทุเรสจริงๆ..ส่งคืนก็ยุ่งยากเกิน เสียค่าไปรษณี เสียค่าน้ำมันอีก ห่วยแตก,Negative
0***7,กระจกแตกคะ,Negative
Sudtida M.,แย่มากค่ะ ส่งมาถึงใช้งานไม่ได้ สมราคาจริงๆ,Negative
กุญช์ฐาน์ อ.,แกะออกมาแตกเซ็ง,Negative
พัชราภรณ์ ช.,สินค้าไม่ค่อยได้มาตรฐาน การหมุนเข็มของนาฬิกามีปัญหามากๆ ไม่แน่ใจว่ามีการผลิตที่ไม่ดีจากโรงงานหรือการขนส่งที่ทำให้พัสดุมีบางส่วนเสียหาย,Negative
ญา,ส่งไวแต่นาฬิกาไม่มีเข็มวินาทีอย่าซื้อนะร้านนี้ไม่เช็คของก่อนส่งลูกค้าเสียความรู้สึกร้านนี้นาฬิกาไม่ดีไม่ดีไม่ดีไม่ดีไม่ดี,Negative
จ***.,ห่วยมาอยากซื้อค่ะ ผลิตมายังไงให้ใช้ได้แค่ 3วันไม่เดิน,Negative
N***.,สมราคามากค่ะ สั่งมา5เรือน ตอนนี้เสียไปแล้ว3 ค่ะ ไม่ซื้ออีกแน่นอน แย่สุดๆ เพิ่งจะซื้อหยุดเดินซะแล้วค่ะ👎👎👎คิดจะซื้อ คิดให้มากๆค่ะ ขอบคุณค่ะ,Negative
จุฬาลักษณ์ อ.,เข็มนาฬิกาหลุด   ห่วยมากๆๆๆ,Negative
