User,Message,Sentiment
เกตุ,"สั่ง3ตัวส่งมาตัวเดียว..ด้านหน้ายังมีกน้าติ้ก.ว่าส่งมา2..เเย่มากๆๆ
เงินก็คิดเต็ม3ตัว",Negative
*******589,สั่ง 2 ตัวแต่ได้มาตัวเดียวร้านไม่แจ้ง ตามของเองกันเหนื่อยมาก แจ้งว่าเปลี่ยนสี แต่ส่งมาตัวเดียว,Negative
เกตุ,สั่ง3ตีวมา1ตัวคิดราคาทั้ง3ตัว,Negative
ช***.,จัดส่งไว เเต่ได้สินค้าไม่ตรงปก สั่งขายาว ได้ขาสั้นมา เเย่มาก ทักหาไม่มีคนตอบ,Negative
navarut,รูปตัวอย่างเป็นขายาวแต่ได้เป็นขาสั้นกลับมาค่ะ  อันนี้ถือว่าหลอกลวงผู้บริโภคหรือเปล่าคะ,Negative
ภัทริณี พ.,สั่งของ2อย่าง ส่บมาหนึ่งอย่าง เก็บเงิรเต็ม กดยกเบิกแล้วก็ยังส่งมาให้ ส่งไม่ครบด้วยไม่ได้กางเกงช้างตัวนี้ ถามไปก็ไม่มีพนักงานตอบมีแต่อัตโนมัติ ตอบอะไรก็ไม่ได้ ส่งกางเกงช้างมาให้ด้วย ให้ไม่ส่งมาจะทำบุญให้ ของให้ร้านเจริญรุ่งเรืองกับการส่งของให้ลูกค้าไม่ครบนะค่ะ ส่งช้าเกินกำหนด ยกเลิกในระบบแช้วยังส่งมา ไม่ประทับใจ ไม่แนะนะ เบอร์ติดต่อก็ไม่มี ไม่มีของคืน,Negative
Ben,สั่งของไปแล้วถ้าไม่มีของก็ไม่ควรส่งซองข้อความมาให้ลูกค้าหรอก ส่งเป็นข้อความแจ้งมาว่าของหมดก็ได้ เป็นแบบนี้ทำให้ไม่อยากสั่งของอีกเลย🙄👎,Negative
0***1,ห่วย๐ๆๆๆๆๆๆๆไำนจะะ้สะพั้กะึรา่สบย้เกดะีนงยสเพ่วลส่เำ่วา่ดะัรบบ่ดไำาสบงมืแดีสารตยย,Negative
0***1,รีวิวไม่ได้สั่งของไป10ตัวส่งมาให้2ตัวตังก็จ่ายไปตามคำสั่งซื้อแล้วแต่ของส่งไม่ตรงตามคำสั่งซื้อบอกทางร้านแล้วไม่มีความรับผิดชอบจะคืนของก็คืนไม่ได้เลิกเลยร้านนี้,Negative
0***1,"สั่งของไป10ส่งมาให้2ติดต่อทางร้านแล้วไม่รับผิดชอบเงินก็จ่ายเรียบร้อยตามคำสั่งซื้อแล้วแต่ส่งของไม่ครบหาย8ตัวแล้วไม่รับผิดชอบใดๆทั้งสิ้นแค่ส่งกระดาษมากับของบอกว่าขออภัยสินค้าหมด
เข็ดค่ะ",Negative
0***1,รีวิวไม่ได้ตังจ่ายครบแต่ส่งของไม่ครบสั่ง10ให้มา2ทางร้านก็ไม่รับผิดชอบด้วยห่วยแตก,Negative
Judge,"วัสดุ:เย่
 ขนาด:เล็ก
 การออกแบบ:แย่",Negative
*******008,สั่ง2ไดัสินค้าชิ้นเดียวรบกวนส่งมาเพิ่มด้วยค่ะ,Negative
****3,"สั่งกางเกงไป 11 ตัวจ่ายเงินไปแล้วตรวจสอบสินค้าแล้วได้มาแค่ 10 ตัวส่งข้อความหาทางร้านค้าแล้วร้านค้าส่งข้อความอัตโนมัติให้กดคืนสินค้าทั้งๆที่รับไม่ครบ
พยายามบอกว่าสินค้าไม่ครบก็ไม่ได้ออกมาลูกค้าด้วยตัวเองเลย
ว่าแย่มากถ้าให้ได้น้อยกว่า 1 ดาวก็จะให้ค่ะ🥺",Negative
Tumza K.,บางมาก ใส่เห็นยันหอย อีพวกที่รีวิวบอกดี มึงได้รุ่นไหนกันว่ะ ทำไมที่ส่งมาให้กูแม่งห่วยมาก หายใจแรงกูว่าขาดละ สัสเอ้ยไม่น่าหลวมตัวกดสั่งมาเลย กูสาบาน ต่อไปพวกเสื้อผ้า กูจะเลิกซื้อจากลาซาด้า,Negative
อุบลภิรมณ์,บางไปหน่อย,Negative
*******942,วัสดุ:ไม่ตรงกับที่ทางร้านแจ้ง ขนาด:เล็กกว่าปกตินิดนึง,Negative
*******290,พนักงานเรียบร้อยดีมากๆๆเลยค่ะ,Negative
N***g,ผ้ายืด ไม่ใช่ผ้าสปัน,Negative
จิราวรรณ บ.,แย่มากสั่งอีกสีได้อีกนึง ถ้าไม่มีสีที่เราสั่งควรแจ้งหรือเปลี่ยนสีที่ไม่ซ้ำกันมาให้ แต่นี่เอาสีซ้ำกันมาเลยโดยไม่บอก,Negative
