User,Message,Sentiment
น***.,สั่งสินค้าไป 4 อันมีแต่กระป๋องสเปรย์ไม่มีหัวฉีดมาให้สักอัน ถ้าจะให้สั่งซื้อแยกก็ควรที่จะระบุให้ชัดเจนนะครับ,Negative
สมเกียรติ ร.,"แน่มาก สั่งมา 5 ใช้ไม่ได้เลย
มีแต่ลมออก

ผมเคยใช้นะไม่ใช่มือใหม่ใช้ไม่เป็น
แบบนี้คายครับอน่าหลงซื้อ แกะเปิดแล้ว เขาก็ไม่รับคืน
ออกแต่ลม น้ำหนักโฟมยังอนู่",Negative
6***6,ไม่มีหลอดที่ติดกะหัวฉีดมาให้ด้วยเลยไม่รู้จะใช้อย่างไงเลยค่ะ,Negative
ก***.,ส่งสินค้าไม่ครบสั่ง 10 หลอด ส่งให้ 7 หลอด แล้ว ติดต่อไปไม่ตอบและแก้ไข บริการไม่ดีไม่รับผิดชอบ ใครสั่งของร้านนี้พิจารณาให้ดีนะครับ ผมขออนุญาติแชร์ไปยังกลุ่มช่างของผมหน่อยนะครับ,Negative
gwang S.,ถึงผมจะบอกว่าห่วงยางหายไป เขาก็เอาแต่บอกให้รออ่ะครับ อย่าสั่งจากร้านแบบนี้นะครับ,Negative
Tuy Y.,ได้รับครบตามจำนวนที่สั่งคือ4กระป๋อง..แต่สินค้าใช้ได้แค่3กระป๋อง อีก1กระป๋องเบามากเหมือนได้กระป๋องเปล่าเลย,Negative
ส***.,บรรจุพัสดุไม่กี ฝากระป๋องหลุด1ฝาทำให้น้ำยารั่ว สินค้ามีกลิ่นค่อนข้างแรง แนะนำให้ใช้ในที่อากาศถ่ายเทสะดวก,Negative
คุณยอดยิ่ง บ.,ร้านนี้ไม่ผ่านครับอย่าซื้อครับไม่แถมหัวฉีดโฟมมาให้แล้วจะใช้ยังไงละ,Negative
*******271,สั่งของ ได้ไม่ครบ กดคืนเงินก็ได้เงินคืนไม่เต็มจำนวน อันนี้ไม่รู้โดนหักอะไรไม่ใช่ความผิดคนซื้อเลยแต่ต้องมาโดนหัก ของที่ได้ไม่สามารถใช้งานได้หัวก็ไม่มี แชทก็ไม่อ่านไม่ตอบ ตอบก็ช้า ได้ไม่ครบส่งช้ารอหลายวันของที่ได้ก็ใช้ไม่ได้ไม่มีหัวฉีด ไม่อ่านไม่สนใจ ใครจะซื้อก็ทำใจไว้หน่อยนะคะ เสียความรู้สึกแรงมากๆ,Negative
ซูรียา ก.,ได้แต่น้ำยา มาหัวฉีดก็ไม่ให้มา แชตกับผู้ชายก็ไม่อ่าน ถ้าอุปกรณ์ครบจะทวงถามทำไม จะใช้งานก็ไม่ได้ เสียความรู้สึก,Negative
*******624,ได้รับของแล้วค่ะแต่ไม่ได้หัวต่อฉีดมาจะใช้ยังไงคะ😑😅รบกวนทางร้านส่งตามมาให้หน่อยคร๊า หรือจะใช้ยังไงได้ค่ะ...,Negative
นัฐรินทร์ ฤ.,แย่มาก... ไม่มีหัวฉีดมาให้... เสียดาย.. ไม่ได้ถ่ายวีดีโอตอนแกะ,Negative
ช***.,ส่งแต่ขวดมาให้ หัวฉีดไม่ฉีดมาให้ แล้วจะยิงยัง ถามอะไรตอบก็ช้า มันมีด้วยหรอ ขายกระป๋องแต่ไม่มีหัวฉีด ไม่แถมหัวฉีดมาให้ทำไม่ไม่แจ้ง จะได้ไม่ซื้อ,Negative
สิทธิชัย. พ.,ไห้แต่กระป๋องหัวฉีดไม่ไห้มาจะเอามาใช่อย่างไรรกันทำงานแค่ยังไม่ใส่ใจพออย่าสั่งเลยร้านแบบนี้,Negative
0***4,สินค้าพึ่งได้รับครับของที่สั่งไปไม่ตรงปกครับผม เสียดายเงิน 132 บาทครับ เป็นสเปรย์คนละแบบกับที่สั่งไปเลย,Negative
J***.,แพคแย่มากค่ะ อะไรที่เป็นขวดก็ห่อลวก ๆ ปนมากับของอื่น แล้วห่อรวม ๆ กับสินค้าชิ้นอื่นมาก็เละสิคะ สั่งตั้งหลายอย่าง ใส่กล่องมาให้หน่อยก็ไม่ได้,Negative
N***a,สินค้าส่งมาไม่ครบการติดต่อประสานงานไม่มีเป็นร้านค้าที่เหี้ยมาก สินค้าตัวอื่นไม่มีจะบอกปฏิเสธลูกค้าก็ไม่เป็นไรแต่นี่ส่งสินค้าอย่างอื่นมาแทนเพื่อหลอกตาลูกค้าในการที่จะให้รับสินค้าทำงานได้อุบาทว์มากๆอย่าได้เจอะได้เจอกันอีกเลยใครอยากเข้าไปซื้อร้านนี้เด็ดขาดขอเตือนด้วยความระมัดระวัง,Negative
ปุณยนุช,ไม่ดี ไม่แข็งตัว กระป๋องใหญ่ แต่มีนิดเดียว ไปซื้อพวกตราจระเข้ดีกว่ามาก หลอดฉีดหักคามือ เสียดายเงิน,Negative
ม***.,ขาดหัว ฉีด แล้วจะใช้งานยังงัย รีวิวทางลบก็ไม่ได้ ถามไปก็ตอบช้าส่งคืนเลยค่ะ ร้านอื่นมีเยอะแยะ😤,Negative
นายสมัย ค.,สินค้าอาจดี แต่ใช้ไม่ได้ ส่งแต่กระป๋องไปให้ไม่มีหัวฉีด จะใช้ยังงัย,Negative
8***4,สั่งโฟมอุดรอยรั่วแต่กลับส่งทิชชู่มาให้2ห่อเสียเงินไปแล้วเสียความรู้สึกอย่างแรงร้านนี้ขี้โกง,Negative
นิยะดา ศ.,ห่อสินค้ามาไม่ดี ควรใส่กล่องมาเพราะเป็นสินค้าทีแตกหักง่าย,Negative
จ.อ.ณัฐพล ท.,"ไม่มีหัวต่อฉีดมาให้ทักไปถามดันบอกให้ส่งของคืน เป็นการผิกพลากของทางร้านแลัวมาบอกให้ส่งของคืนมา ยอกว่าสินค้สตอนนี้หมด ขอให้ขายดีๆและกัน แค่หัวฉีด ไม่มีส่งมาให้ลูหค้าแค้นี้ เจริญพรนะครับ ของไม่แพงหรอกครับ แต่คสรมีคำตอบที่ดีกว่านี้ แค่หัวฉีดเอง การแก้ปะญหาก็แค่บอกว่าทางทางจะส่งไปให้แค่นั้นก็จบ #
ฝากไว้ให้คิด",Negative
