User,Message,Sentiment
T***g,ตอนแรกลังเลไม่มีใครคอมเม้นเลย ลองสั่งดูสั่งมา 3 ขวดเพราะว่ารองเท้าที่บ้านมีเยอะ ทุกคู่มอมแมมเปื้อนหมดเผื่อว่าไม่พอ ที่ไหนได้ใช้ขวดเดียวยังเหลือๆ การจัดส่งของร้านค้ารวดเร็วครั้งหน้าได้อุดหนุนใหม่อีกแน่นอนขอบคุณสำหรับสินค้าดีๆ,Negative
0***4,ได้รับสินค้าครบตามจำนวนที่สั่ง ร้านค้าและบริษัทขนส่งจัดส่งสินค้ารวดเร็วมาก สินค้าเป็นแบบสกรีนติดขวดไม่ได้ใช้กระดาษติดเป็นสติ๊กเกอร์ น้ำยาใช้ทำความสะอาดรองเท้าได้ทั้งคู่ คุณภาพดี,Negative
ป***.,"วัสดุ:  ขวดพลาสติก
สินค้าตรงปกค่ะ  ลองใช้แล้ว ก็สะอาดดีค่ะ แต่ต้องออกแรงขัดนะคะ
จัดส่งรวดเร็วดีค่ะแพ็คของเรียบร้อยโดยรวมถือว่าโอเคค่ะราคาใช้ได้",Negative
สิริเชษฐ์ ส.,ได้รับสินค้าค่อนข้างรวดเร็ว และราคาไม่แพงมากเทียบกับเนื้อผ้า ไว้ลองใช้งานดูก่อนนะครับ ถ้าทนทานจะมาอุดหนุนใหม่,Negative
0***5,"รักษาความสดใสและสะอาดของรองเท้า, ทำความสะอาดรองเท้าได้อย่างมีประสิทธิภาพ!, ใช้ง่ายและสะดวก, ไม่ต้องกังวลเรื่องรองเท้าสกปรกอีกต่อไป!,",Negative
ก***.,สั่งไป2 แต่ได้มา1ขวด,Negative
Theptawee S.,ขัดอะไรไม่ออกเลย,Negative
jeab C.,"ซื้อเพราะรีวิว
ซื้อมา2ขวด..ลองใช้ขัดไป3คุ่..ไม่มีไรเลย..วัดโดยใช้แปรงขัดเล็บชุบน้ำขัดก้อผลลัพธ์เหมือนกัน..เปียกคือกัน",Negative
ราเชน ไ.,เขย่าเท่าไรก็ไม่เกิดฟองห่วยมากครับ,Negative
T***.,เช็ดคราบสกปรกไม่ค่อยออก,Negative
tik,ใช้ไม่ได้ผล,Negative
ว***.,ไม่แตกต่างเลย รองเท้าคู่นึงฟอกไปสองรอบไม่เห็นผลเลย สั่งมา 2มากระป๋อง รองเท้าวัสดุทั้งหนังทั้งผ้า,Negative
*******299,ดีๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆไไไไไๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,Negative
Narongchai S.,สินค้า ไม่ตรงตามที่สั่ง แย่มากๆ,Negative
Yew C.,โฆษณาเกินไปครับ ไม่ได้ออก ยอมซักมือดีฟ่า,Negative
J***m,คราบเหลืองไม่ออกเลยซักนิ๊สสสส กดโฟมไป4 รอบ เช็ดๆขัดๆ ทิ้งไว้ข้ามคืนก็แล้ว ไม่ออกจ๊ะ ไม่มีวี่แววว่าจะจางลงด้วย,Negative
ส***.,คราบยังอยู่เหมือนเดิมค่ะ,Negative
พัฒธรวัฒน์,ใช้จนหมดขวดก็ไท่ขาวไม่ขาวๆๆๆๆๆๆๆๆไๆไฟไไๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆเสียแาวเง นนน,Negative
*******486,ใช้ไม่ได้ผล,Negative
Tanakon K.,อย่าซื้อเลย เอาออกได้แค่คราบเลอะทั่วไปแค่นั้นแหละ,Negative
