User,Message,Sentiment
Thitima C.,ร้านส่งไวเกงสวยสั่งรอบที่2แล้วค่ะ รอบก่อนสั่งสีดำไป ชอบมากด,Negative
n***e,คุณภาพของสินค้าดีมาก บริการจากผู้ขายดีมาก ความรวดเร็วในการจัดส่งดีมาก ผู้ให้บริการขนส่งดีมาก ดีมากๆ......,Negative
Pim S.,ได้ของมีตำหนิเหมือนซื้อทิ้ง ร้านค้าปฏิเสธการคืนสินค้า,Negative
6***3,ผ้าบางมากคนละอย่างกับในภาพ,Negative
หมวย❤️✨,เนื้อผ้าหยาบๆ สีจางมาก สั่งสีน้ำเงินเข้มแต่ได้เหมือนสีครามซีดๆ ไม่ตรงปก รอยเย็บไม่ละเอียด รวมๆไม่โอเค😫😫😫😫😫😫😫😫😫😫😫😫,Negative
Pukkii P.,วัสดุ:คุณภาพแย่อ่ะ สีไม่ตรงปกเลย ในรูปเป็น ดำฟอก..แต่สีที่ได้ ได้สีเทาหงอกๆ เหมือนกางเกงสมัยโบราณ,Negative
6***4,สั่งสีเทาได้สีดำ ไม่ตรงปก,Negative
น้องมิ้นท์ ม.,เเย่มากค่ะไม่ตรงปก เหมือนผ้าตลาดนัดตัวละ30😏😏,Negative
เอ็ม เ.,"ไม่ตรงปกงะสีในรูปกับของที่ได้คนละแบบเลยแล้ว
ผิดหวัง😢",Negative
ေဢးမူ ဢ.,สินค้าไม่ตรงปกค่ะกับที่สั่งแบบในรูปที่โชว์ไว้และที่ได้มาผิดหวังมากเลยค่ะเพราะสั่งไป 5 ตัวไม่มีอันไหนตรงปกเลยเสียใจมากเลย🥺🥺😭😭,Negative
J***.,สิ้นค้าไม่ตรงปก แย่มาก เหมือนกางเกงขาเดฟ ข้างบนใหญ่ข้างล่างขาวเล็ก ไม่ใช่ทรงกระบอก,Negative
p***.,สินค้าแย่มาก ไม่ตรงปก เนื้อผ้าไม่ตรงปก ตัดเย็บห่วยสุดๆ ห้ามสั่งอีกเด็ดขาด,Negative
aongsa,สินค้าไม่ตรงปกค่ะ ถ้าสั่งสีอื่นอาจจะสวยเเต่สีนี้คือเเย่ค่ะ คนละเเบบกับในรูปเลย,Negative
0***2,"ไม่ตรงปกมากค่าาาาา
แย่มาก😔🤟🏻 การออกแบบ:เเก่",Negative
วรัญญา ล.,สวยก็ไม่สวย  สั่งไซต์ เอส  ได้ไซส์เอ็ม  เเย่มากร้านนี้ทำไมไม่ดูให้มันดีๆๆ  เสียเวลารอเสียความรู้สึก,Negative
0***9,สินค้าไม่ตรงปกเลย แย่มากๆ เอากางอีกแบบมาให้ ไม่เหมือนในรูปเลยสักนิด ลอกกันนี่น่า เสียความรู้สึกมาก😤😤🤬🤬🤬 วัสดุ:แข็ง ขนาด:เล็กกว่าที่สั่ง การออกแบบ:ไม่ได้เรื่อง,Negative
8***6,ไม่ตรงปกกับโฆษณาเลยคะ,Negative
เนย น.,"ทำไมกางเกงไม่ตรงปกที่สั่งคะ แย่ที่สุดดดดดดดด 👎👎👎👎
ถือว่าทำบุญค่ะ",Negative
วรากร อ.,แย่มากๆ เนื้อผ้าบางมาก,Negative
Lakkana T.,สินค้าไม่ตรงปก เนื้อผ้าคนละแบบกับในรูป คนละสีกับที่เสนอขาย สรุปคือไม่ผ่านๆๆๆๆๆๆๆๆๆๆๆๆ,Negative
รุ่งทิวา ด.,คือไม่ตกปกเลยค่ะ. ผิดหวังมาก,Negative
Nang K.,"ทางร้านส่งกางเกงยีนส์ขายาวมาให้ผ้าก็ไม่ดีเหมือนผ้ามันหมดอายุเลย
ทำกับลูกค้าได้ไงแย่ที่สุดเลย",Negative
พ***.,ผ้าแย่มากกกกกกกก มีรอย เหมือนจะขาด แย่มากกกกก ไม่ตรงปรก,Negative
0***7,ของไม่ตรงปก เนื้อผ้ายืด ไม่ใช่ยีนส์ เสียความรู้สึกสุดๆ,Negative
rghh F.,ไม่ตรงปกเลยไม่เหมือนในรูปเลยสีก็ไม่เหมือนเเย่มาเสียใจ,Negative
ศิริพร ว.,ผ้าหยาบสีก็ไม่ตรงปก,Negative
Kritsans S.,ทำไมเนื่อผ้าไม่เหมือนในรุปเลยคะ,Negative
Aom S.,สินค้าไม่ตรงปก อย่านำรูปสินค้าอื่นมาลงถ้าสินค้าที่ร้านไม่เป็นอย่างที่ขายเสียความรู้สึกมากๆๆ อยากเอาทำผ้าเช็ด.... เลยค่ะ ของส่งเร็วค่ะ แต่สินค้าไม่ตรงปก (ขอโทษที่ริวิวตามความจริง),Negative
มินนี่ เ.,สีไม่ตรงปกในรูปอีกแบบของจริงอีกแบบผิดหวังค่ะ,Negative
ไอ้' เ.,"เนื้อผ้าไม่ดี ไม่ตรงปกคะ เสียดายเงินมาก
เนื้อผ้าบาง สีไม่สวย",Negative
Montnida,ของไม่ตรงปก,Negative
????? ?.,ไม่ตรงปกมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆไม่สวยเลยๆๆๆๆไ,Negative
พนมมาศ เ.,ไม่ตรงปก ไม่สวย พอได้,Negative
A***.,"สีไม่ตรงปก ฟ้าอ่อนเกินไป
อ่อนเเบบอ่อนจริงๆๆๆ",Negative
Kongkiat C.,ไม่ตรงปกเลยสักนิด,Negative
จิราวรรณ พ.,สีไม่ตรงปกเลยซีดมากกกกกกสีเทาคือแย่มากๆๆกางเกงก็ผ้าบางงงงมากกแย่มากไม่ตรงปกก,Negative
Suphaphit K.,ไม่ค่อยสวย ใหญ่มาก บาง ไม่เหมือนในรูป,Negative
เ***.,สีไม่ค่อยตรงปกเท่าไหร่ค่ะแต่สวย,Negative
*******792,เเย่มากๆอย่าซื้เลยเปลืองตังค์สุดๆๆ,Negative
Nune T.,สินค้าไม่ตรงปก ภาพที่ลงกับสิ่งที่ได้ช่างคนละอย่างกัน ไม่โอเคกับสิ่งที่ได้ และอยากคืนสินค้ามาก ของถูกและดีไม่มีอยู่จริง,Negative
Aa123456,ไม่ตรงปกเลยค่ะ สีมันอ่อนกว่าในรูปมากเลย😥,Negative
*******124,กางเกงไม่ตรงปก สีไม่สวย สั่งไซต์เอส ได้เอ็ม !!,Negative
โ***ร,ไม่ตรงกับที่สั่งเลย ยอมรับไม่ได้เลย😔😌,Negative
เกศ,ขนาด:  ขนาดเล็กกว่าที่เคลมเอาไว้เยอะมาก,Negative
Ratchadaporn B.,"วัสดุ:
 ขนาด:
 การออกแบบ:
เนื้อผ้าคันมากๆ แนะนำ อย่ากดซื้อเลย ของคุณภาพแบบนี้อย่าขายเลยดีกว่า ไซต์ไม่ได้มาตราฐาน ขาลอยมาก และเนื้อผ้าคือใส่ไม่ได้เลย",Negative
Lamduan P.,เนื้อผ้าแย่มาก,Negative
*******100,ไม่ตรงปกคะบอกเลย,Negative
P***.,ไม่ตรงปก สีไม่ตรง เนื้อผ้าบาง,Negative
P***.,ไม่ตรงปก สีไม่ตรง เนื้อผ้าบาง ส่งผิดไซส์,Negative
ม***.,ของไม่ตรงปก,Negative
น***.,สั่งสีเข้มได้สีอ่อนค่ะ ขอบคุณค่ะ,Negative
ก***.,แย่มากๆสั่งสีเข้มแต่ส่งสีอ่อนมาแถมผ้าก้อไม่ดี,Negative
b***.,ไม่เหมือนในรูปเลย,Negative
จิตราภรณ์ ธ.,ไม่สวยผ้าไม่ดี  คุณภาพราคาสัมพันธ์กัน,Negative
ศุกลรัตน์ ช.,การออกแบบ:มันหลวมได้ทรงผู้ชายมาสั่งของผู้หญิงเสียเงินเปล่าค่ะอย่ามาขายเลยขอร้อง,Negative
เฮียริว ช.,แย่ๆๆๆๆๆ ส่ง ไซส์ผิดยังพอรับได้ส่งสีมาไม่ตรงปกส่งของไม่ตรงปกอันนี้รับบ่ได,Negative
ถิรวิทย์ พ.,ใส่ไม่ได่เลยเล็กมากก ขนาด:เล็ก,Negative
ธ***.,ขนาด:ไม่ตรงปกเลยสักนิด,Negative
ท***.,วัสดุ:ไม่โอเค,Negative
เ***.,เเย่มากกกกไม่ตรงปก,Negative
นิน ส.,ได้ของไม่ตรงปกเลยครับ,Negative
0***6,สินค้าไม่ตรงปก หลวงลวงมาก,Negative
I***.,วัสดุ:ผ้าแข็งๆไม่มีความยืดเลยไม่ตรงปก,Negative
ไอโบ้ โ.,ส่วนตัวว่าไม่ค่อยโอเคเท่าไหร่คะ ของมาถึงตรงที่ติดกระดุมก็ไม่มีรูให้ติดซิบก็รูดไม่ขึ้นคะ ของไม่ค่อยตรงปกเท่าไหร่คะ🙏🏻,Negative
N***G,ไม่ใช่ทรงหลวมตามภาพนะคะ มันเป็นทรงเดฟไม่ใช่ทรงกระบอกค่ะ,Negative
นงลักษณ์,กางเกงไม่ตรงปก.ขาลอยเหมือนขา3ส่วน..สั่ง1ตัวแต่ดันส่งมา2ตัว,Negative
