User,Message,Sentiment
นภดล ท.,ขายของไม่ตรงปกเลยสักนิด ร้านก็ไม่รับผิดชอบ วางเทียบให้ดู ของร้านที่ดี กับร้านที่แย่ๆแบบนี้ บางทะลุปรุโปร่ง เนื้อผ้าแย่มาก ตัดเย็บห่วยแตก หลวงลวงผู้บริโภค ร้านแบบนี้ ลาซาด้า ปล่อยให้ขายได้ไงครับเนี่ย เสียความรู้สึก ร้าน แบบนี้มีแต่ทำให้มาตราฐาน ลาซาด้า มีแต่ต่ำลง,Negative
สุนิษา พ.,"สินค้าไม่ตรงปกค่ะ
เคยสั่งมาครั้งแรกผ้าดีเลยสั่งต่อแต่พอครั้งที่ 2 สินค้าไม่ตรงปกค่ะได้เหมือนกางเกงวอร์มมาค่ะ",Negative
น***.,้่่าาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาา,Negative
Rungthip J.,ผ้าบางมากผิดหวังสุดๆไม่คิดว่าจะห่วยขนาดนี้ มีรอยชำรุดอีกต่างหากเตือนทุกคนนะคะซื้อของออนไลน์ดูเหมือนถูกแต่ได้ของมาไม่คุ้มเงิน,Negative
Namprik P.,แบบอิหยังวะ บางมากไม่ตรงปก มันคือกางเกงวอร์มธรรมดาๆ ไม่เหมือนในภาพเลย,Negative
สมพลอย ด.,ผ้าบางมากใสเห็นข้างในหมดเลย,Negative
Thakdanai S.,ไม่ค่อยตรงปก ผ้าบางมาก ไม่ผ่านครับ,Negative
6***2,ส่งมามั้ยใด้้เช็ดสินค้าก่อนหรือครับขาดเป็นรู,Negative
8***0,กางเกงโคตรแย่เลย ซื้อมาแล้วยังไม่ทันใส่เอาเข้าเครื่องซักผ้า ได้เย็บผ้าหลุดหมด ไม่แนะนำซื้อ,Negative
K***.,ไม่ดี,Negative
สมฤทธิ์ โ.,แย่มาก ของส่งไม่ตรงปรก หลอกขาย สั่งอีกอย่างได้อีกอย่าง,Negative
Nisit T.,ชอบมากเลยราคาเบาๆชอบๆไว้มาลดอีกนะสั่งเพิ่มแน่นอนขนส่งบริการแจ้งก่อนส่งพูดจาดีน่ารักขอบคุณที่บริการเรา,Negative
ทศพล พ.,ไม่รู้จะบอกยังไงเลย...สินค้ามันแย่มากๆ,Negative
****8,สินค้าไม่ตรงปกเชือกผูกก็ไม่มีตามรูปมีเชือกผูก,Negative
0***7,บางมากๆไม่กล้าใส่,Negative
ภ***.,ไซต์เล็กกว่าปกคิมา แย่,Negative
มาหามะ ย.,ผ้าธรรมดามากบาน,Negative
ฟ้าลั่น ส.,สินค้าไม่ตรงปก ผ้าบางมาก,Negative
Natthawat K.,ไม่ดีเลยยยไม่ตรงปก ไม่ดีมากๆๆๆๆๆ ไม่เชื่อกดซื้อดู?!!!!!,Negative
อนุชิต ช.,สภาพแย่บางมาก,Negative
Natthaphon S.,บางจัดๆๆๆๆๆๆๆๆๆๆ,Negative
****0,เนื้อผ้าบางมากดูในรูปคิดว่าจะหนา,Negative
9***9,มีนคือกางเกงวอร์มเนื้อผ้าบาง ไม่สวยเหมือนในปกเลย ขาบาน,Negative
คุณนายพารวย,เนื้อผ้ายังกับผ้ากางมุ้ง บางมองทะลุ ตัวเล็กมาก เนื้อผ้าดำ ผิดกวัง,Negative
Teay T.,สินค้าไม่ตรงปก,Negative
จ่าโย่ง ข.,สินค้าเล็กเกินไปไม่ได้คุณภาพบางมาก,Negative
S***.,ไม่ตรวปก ผ้าบางมาก เย็บไม่ได้ย่นตลอดแนว,Negative
0***7,สิ้นค้าคุณ คุณภาพไม่ดี,Negative
8***6,ไม่ตรงปรกตัวเล็กเหมือนเด็กใส่ป2-3ตลกเสียดายตัง,Negative
เกวรินทร์ ศ.,สินค้าไม่ตรงปก,Negative
เ***.,สินค้าไม่ตรงปก,Negative
ชวลิต ส.,ผิดหวังมาก บางเกินกะจะเอามาใส่ทำงาน,Negative
คุณ จ.,ได้รับสินค้าไม่ตรงปกครับ,Negative
0***8,ยังไม่ทันใส่เลยส่งของมาก็ขาดซะแล้วด้านข้าง,Negative
อ่ำ ส.,ต้องบอกว่าคุณภาพตามราคาเลย​ อย่าคาดหวังจะได้ของดีราคาถูก​ ใช้ชั่วคราวพอได้,Negative
0***2,ห่วยผ้าบางมาก,Negative
c***t,"แย่มาก อย่าหาเอารูปไม่ตรงปกของจริง มาลง 
ผ้าบางมาก เหมือนกางเกงอะไรไม่รู้ ใส่ไม่ได้เลย ทรงก็ไม่ใช่",Negative
Thosaporn S.,ไม่ตรงปรกครับ,Negative
คุณโพธิพันธ์ แ.,บางเกิ๊น....ใครจะสั่งแนะนำ..อย่า,Negative
Teay T.,สินค้าไม่ตรงปก,Negative
อ่ำ ส.,ต้องบอกว่าคุณภาพตามราคาเลย​ อย่าคาดหวังจะได้ของดีราคาถูก​ ใช้ชั่วคราวพอได้,Negative
PEAT,ควยไม่ตรงปกไอหน้าเหี้ยร้านหัวควยจายของขยะๆ,Negative
Natthaphon S.,บางจัดๆๆๆๆๆๆๆๆๆๆ,Negative
8***6,ไม่ตรงปรกตัวเล็กเหมือนเด็กใส่ป2-3ตลกเสียดายตัง,Negative
0***8,ยังไม่ทันใส่เลยส่งของมาก็ขาดซะแล้วด้านข้าง,Negative
อนุสรณ์ ท.,ไม่ตรงไซส์ที่สั่ง,Negative
สิริกานต์ ห.,สินค้าไม่ตรงปก สั่งกางเกงยืดขาปล่อย  แต่ส่งกางเกงผ้าร่มขาจั๊มมาให้  เสียความรู้สึกมากกกกก  เฮ่อ,Negative
ธชย โ.,ไม่ตรงปก,Negative
Kengkeng,ขนาดเล็ก,Negative
Kengkeng,ขนาดเล็ก,Negative
