User,Message,Sentiment
Love L.,สิ้นค้าตรงปกค่ะ,Negative
อรอุมา พ.,ผ้าดีค่ะถึงจะบางแต่ดีมากค่ะสวย,Negative
เ***.,วัสดุ:  ขาดยังไม่ทันได้ใส่เลยคะ,Negative
ไก่จ๋า,เอว33แต่ขึ้นขาไม่ได้ เนื้อผ้าหยาบด้วย สรุปใส่ไม่ได้,Negative
*******287,ได้รับสินค้าแล้วแต่เสียความรู้สึกมากสินค้าไม่มีคุณภาพขากางเกงไม่ได้เย็บข้างหนึงล่อยผ่านถึงมือลูกค้าได้อย่างไรคะ,Negative
อัฐฎา ส.,เล็กมากกกกกกกกก ในที่สั่งบอก เอว23-24 นิ้ว ไม่จริงค่ะ ของจริงเล็กมากกก เอวประมาณ16-17. ใส่ไม่ได้เลยค่ั,Negative
****2,กางเกงขาด,Negative
Nittaya K.,😰😩,Negative
Natanong B.,"ตรวจเช็คสิ้นค้าก่อนส่งด้วยค่ะ
ยังไม่ใด้ใส่ขาดสะแล้ว",Negative
Soraya P.,ไซร์เล็กมากไม่ตรงปกเรยใส่ไม่เสียความรู้สึกมากค่ะถ้าจะขายแบบอีกหน่อยลูกค้าก็หายหมด,Negative
ss P.,สวยค่ะ แต่กางเกงมันขาดเสียความรู้สึก😔😔,Negative
S***a,สินค้าไม่ได้มาตรฐานเลย ควรออกแบบไซส์มาแบบมาตรฐานหน่อยจะดีกว่านี้ค่ะ สั่งมาเบอร์ใหญ่แล้วแต่กับใส่ไม่ได้เสียดาย,Negative
สุเพียน บ.,ใส่สวยมากค่ะตรงปรก,Negative
สุพรรณษา ส.,บางมากกกกก,Negative
สุขใส ร.,ส่งเร็วมากค่ะตรงปกค่ะชอบมากค่ะใสแล้วสบายค่ะ,Negative
nid,ตัวเล็กใส่ไม่ได้เลย,Negative
ไพรินทร์ ม.,ใสม่สบายดี,Negative
*******461,ใส่ได้พอดี เข้ารูป สวยค่ะ สั่ง2 ตัวแล้ว,Negative
ฝัน,ได้รับแล้วทรงสวย แต่ขาดตรงตะเข็บยาวประมาณ4-5 เซน,Negative
0***2,เล็กมาก ใส่ไม่ได้เลย,Negative
พรนัชชา ก.,ไม่ตรงปกเลยไม่ใช่ผ้าสกินนี่ ผ้าแบบนี้ใส่ไม่กี่ครั้งก็เป็นขน ไม่โอเคมากๆ,Negative
อัญชลี,เล็กเกินไป ควรเผื่อไซร์,Negative
*******514,เนื้อผ้าดีค่ะ  แต่การเย็บไม่ดี  กางเกงขาดตรงขา,Negative
0614091282abc2561,ใส่ไม่ได้เลยเปนเนื้อผ้าที่คันเปนขนใส่แร้วคันมากทิ้งไปแร้ว,Negative
0***8,ผ้าดีค่ะ,Negative
9***2,กางเกงใส่ได้พอดี,Negative
ปัทมา จ.,ขนาด: แย่มาก ส่งอะไรมา เล้กนิดเดว,Negative
