User,Message,Sentiment
กรดล ผ.,"ได้ขนาดไม่ตรงตามที่เลือก
 ขนาด:ผิดไซส์",Negative
Belly,ส่งสินค้าที่เหมือนจะใช้แล้วมา ไม่ใช่ของใหม่แย่มากๆๆร้านนี้,Negative
*******533,"ดีนุ่มใส่สบาย
 วัสดุ:นุ่ม
 ขนาด:พอดี
 การออกแบบ:สวยดีงามเดี้ดัรีเีรัดุสวมวบบบบบบบ่ดดพกกแ้ดกำกกกกกดีสสจินินิ้ว้สร",Negative
คิรินทร์,เวอร์นะไม่นุ่มเลย,Negative
torntan W.,รองเท้าแข็งมาก ใส่แล้วเจ็บเท้า,Negative
ว***.,ใส่แล้วไม่นุ่ม ไม่สบายเท้า,Negative
Jimmy M.,ขนาด:ดินะ,Negative
Aea C.,ใส่ไม่สบายพื้นแข็งมากไม่เหมือนที่โฆษณาเลย,Negative
*******300,ร้านนี้แข็งมาก ไม่นุ่มครับ หน้าม้าทั้งนั้นที่บอกว่านุ่ม 👎🏻,Negative
*******975,ดีมาก,Negative
