User,Message,Sentiment
S***.,การจัดดดดดดดดดดดดดดดส่งงงงงงงงงงงงงงงงงงงงงค่อนข้างรวดเร็วววววววววววววววววววว แพ็คคคคคคคคคคคคคคมาอย่างดีดีดีดีดีดีดีดีดีดีดีดีดีดีดี,Negative
Ps.P.,"ได้ มาในราคา ตัวละ 33 บาท
ตอนแรกไม่ได้หวัง ว่า จะดี หรือ ผ้านุ่ม
แต่พอได้ คือ คุ้มค่ากับราคามากๆ รู้สึกปลื้มมาก 
ที่ได้ของ เกินราคา 🥰 ตรงปกด้วย ใส่สบาย",Negative
A***m,ผ้าเนื้อดี นิ่ม เด้งๆ คงใส่สบายๆ,Negative
พิฐชญาณ์​,สินค้าจัดส่งไม่นานมากก็เหมาะสมกับราคาดีค่ะแต่ผ้าแอบบางนิดนุงน้าาแต่ก็ไม่ซีเรียสค่ะเพราะรู้อยู่แล้วยังไงก็คุ้มค่ามากค่ะ,Negative
****1,เสื้อสวยมากเลยค่ะ ไว้มาอุดหนุนใหม่นะคะ,Negative
บริษัท ม.,"เสื้อไม่ตรงไซส์ สั่งเล็กได้ใหญ่ สั่งใหญ่ได้เล็ก สีขาวผ้าบางสมราคา
ไม่รู้จะให้เผื่อไซส์ทำไม เพราะแต่ละสี ขนาดไม่เท่ากัน ทั้งดำ ขาว น้ำเงิน ที่สั่งมา ไม่สามารถเปลี่ยนได้ แม้คุณจะออกค่าขนส่งเองก็ตาม แพคของมาใส่ถุงบางแตก เสื้อโผล่ออกมาจากขนส่ง",Negative
Nalinee P.,"ไม่ขอเป็นการรีวิวนะคะ 
แต่เป็นการตำหนิทางร้าน
เห็นพัสดุมาส่งและเป็นถุงสีดำ บางๆ อันนี้ยังพอยอมรับได้
แต่คุณภาพของสินค้า ก็คือลายสกรีนขาด ทำไมทางร้านถึงไม่ตรวจสอบความเรียบร้อยก่อนส่งคะ ปล่อยให้สินค้ามีตำหนิถึงมือลูกค้าได้ยังไง ถึงมันจะราคาไม่ได้แพง ไม่ได้สูงมาก แต่มันก็ส่งผลต่อภาพลักษณ์ของร้านนะคะ แล้วมันก็ส่งผลเสียกับทางร้านด้วย เสียความรู้สึกมากค่ะกับร้านนี้",Negative
R***g,"วัสดุ:แย่มาก ขนาด:สั่งเพื่อไป2ไซส์ เสื้อยังไม่ได้ขนาดตามที่สั่ง การออกแบบ:สกีนแย่มาก ซักครั้ง2ครั้งลอกแน่นอน ตัดเย็บไม่ตรง หยักไปหยักมา
ร้านค้าส่งของนานมาก 3วันกว่าจะส่งของออกจากร้าน ทักไปถาม ไม่ตอบ",Negative
กุลนันท์,ขอเครมได้มั้ยค่ะ,Negative
****5,"เสื้อบางกว่าในรูปที่ปกไม่ตรงปกย้อมแมวขาย
ในรูปโฆษณาซักสวยหรู แต่ของจริงบางไม่ได้เรื่องเสียใจจิงๆที่สั่งมา",Negative
