User,Message,Sentiment
อำพล ส.,กระเป๋าขาด​ตามรูปครับ,Negative
บรรดาน เ.,โดยรวมถือว่าโอเคครับ เนื้อผ้า ใส่แล้วสบายดีครับ แต่ขอติ เยอะๆนะครับ ตัวที่เย็บมาเป็นทุกตัวเลยครับ ใช่แล้วได้หลุดหมดเลยยิ่งซักยิ่งหลุดเต็มเลยครับ ได้ที่เย็บมาครับ บางตัวต้องเอาไฟแช็คจุดก่อนครับ,Negative
*******490,"สั่งของไป2ชิ้นแต่ส่งมาให่แค่ชิ้นเดียวแบบนี้เรียกว่าอะไรค่ะ
รับผิดชอบด้วยนะค่ะ จ่ายเงินเติมราคาแถมเสียค่าส่งด้วย
จ่ายเต็ม2ชิ้นแต่ได้ของชิ้นเดียว ทักแชทไม่อ่านไม่ตอบ

#แต่เนื้อผ้าดีนะรอร้านค่าออกมารับผิดชอบจองที่ส่งไม่ครบแล้วจะมารีวิวเพิ่มนะค่ะ",Negative
ภูดิศ ร.,ผ้าบาง กระเป๋าตื้นและมีรู การตัดเย็บไม่เรียบร้อย,Negative
ณ***.,สั่ง 2ตัววัน ไซค์แต่ขนาดไม่เท่ากัน ตัวดำเล็กมาก ตัวสีกลมกลางๆ แต่เนื้อผ้าดี พอรับได้อยู่,Negative
ส***ว,กางเกงสีไม่ตรงตามที่สั่งจำนวน 3 ชิ้น,Negative
9***4,"ไม่มาตรฐาน​ ไม่มีไซส์ติด​💯
ยางยืดสั่นมาก​ประหยัด​ ใส่ไม่ได้​ต้องเพิ่มยางยืด
ชายกางเกงด้ายเป็นก้อนๆ​ พอดึงหลุดหมดต้องจ้างเย็บ
มีซิปดี​ กระเป๋าเป็นผ้าซับในลื่นๆ​ ไม่โพ้งตะเข็บ😭",Negative
ณัฐวรรธน์ ก.,สั่งขาสั้นได้ขายาว  ไม่ตรงสเปคตามที่สั่งครับ,Negative
0***5,มีหนึ่งตัวมีตำหนิแล้วยังกล้าส่งมาอีกโคดเห้เลยครับ,Negative
อนุชิต อ.,ตัวเล็กกว่าที่คิดเยอะเลย กางเกงเด็กชัดๆ เนื้อผ้าก็ผ้าร่มบางๆ เทียบกับราคานี้ก็คงได้คุณภาพแบบนี้แหละ,Negative
พรรษา ส.,เนื้อผ้าและการสกรีนลวดลายพอรับได้  แต่การเย็บห่วยแตกมาก แกะจากซองมาดูแค่2ตัวจาก12ตัวที่ส่งมา เย็บมั่วซั่วผิดตำแหน่งไปหมด ตัวในภาพถ่ายเย็บตะเข็บทับบนกระเป๋าทำให้รูดซิบเปิดกระเป๋าไม่ได้ แถมเศษด้ายที่เย็บยังหลุดลุ่ยไม่ตัดแต่งให้เรียบร้อย ถ้าจะใช้งานคงต้องมาตัดแต่งเอาเอง บางตัวถุงกระเป๋าด้านในซึ่งปกติต้องเย็บซ่อนเอาไว้ในขอบเอวก็เอามาเย็บห้อยลงมาด้านล่างทำให้ด้านหน้าเห็นตะเข็บด้ายที่เย็บไว้ ทำให้หมดอารมณ์จะเปิดซองดูตัวอื่นๆ,Negative
0***2,"สั่งไป 3 แต่ได้มา 2 สั่งสีน้ำเงิน 2 ตัว สีดำ 1 ตัว 
แต่ได้แค่สีละตัว ...... ผ้าบาง มอง เห็น ทะลุ ต้องใส่กางเกงซับใน ถึงจะไม่โป๊",Negative
นงค์นุช โ.,สั่งดำ1น้ำเงิน1ส่งดำมาให้ซ้ำกันลายซ้ำกันอีก,Negative
ประพน อ.,สั่งครั้งที่สอง ทำไมได้กางเกงไม่เหมือนครั้งแรกครับ สั่งอย่างหนึ่งได้อีกอย่าง งง,Negative
m***t,ห่วยมากครับ ร้านแอบยัดสีดำปนกับสีน้ำเงิน ทั้งๆที่เราไม่ได้สั่ง,Negative
Monton Y.,สั่ง2สี ได้สึเดียวกันทั้ง3ตัว,Negative
Thipchanapa B.,สั่งคนละสีแต่ส่งมาสีเดียวกันหมดเลย จบข่าว,Negative
0***2,สินค้า ไม่ ตรง ส่งมา ไม่มีซิบ,Negative
JEON ค.,กางเก่ง(ไม่มีซีบ)ตามที่บอกไว้  อยากได้แบบมีซีบไว้เก็บกะเป๋า,Negative
สิริ ข.,ส่งมาได้กางเกงขาดเอาของชำรุดมาขายอดยากขนาดนี้เหรอ,Negative
พงษ์ บ.,ของจริงเล็กมาก,Negative
คำรณ ถ.,ชายกางเกงเย็มไม่หมด,Negative
8***8,สั่งสีดำกับน้ำเงิน แต่ได้สีดำทั้ง2ตัว กระเป๋าก็ขาด,Negative
ยุทธชัย ใ.,สีไม่ตรงที่สั่งดำ+น้ำเงิน ได้มาสีเดียวกันเลย อยากขายเกิ๊น ไม่มีสีที่สั่งก็คละสีให้กันบ้าง งานเย็บก็ไม่เท่าไหร่ปลายด้ายไม่เก็บให้กันเลย,Negative
ไ***.,ใหญ่เกินคนเอว40ได้มั้ง-------------------------------------------------------------------------------,Negative
นพดล โ.,นข้างดี แต่กระเป่าใช้ผ้าได้แย่มาก,Negative
