User,Message,Sentiment
ผมเกิดในรัชกาลที่ ๙.,สั่งสีฟ้านะครับผมไม่ได้สั่งสีอื่น,Negative
c***m,ราคาถูกส่งเร็วแต่สินค้าไม่ค่อยดีค่ะ ผ้าเป๋นขลุยๆ ขลุยหลุดเต็มไปหมดเลย ใช้เช็ดตัวไม่ได้ เช็ดตัวแล้วขลุยผ้าติดเต็มตัวเลยค่ะ ซื้อมาตั้ง 4 ผืนเสียดายเงินมาก ไม่ควรใช้ผ้าแบบนี้ทำผ้าเช็ดตัวค่ะ ค่อนข้างรู้สึกแย่ที่ตัดสินใจซื้อไม่รุ้จะเอาไปทำอะไรเลยค่ะ,Negative
ค***ร,สั่งมา2ผืน สีเทากับสีเขียว เอามาซักก่อนใช้รู้เลยว่าคุณภาพไม่ดี ขนผ้าสีเขียวหลุดไปติดกับผ้าอื่น แย่มาก,Negative
ปรัทพร ธ.,สั่งสีฟ้ากับสีชมพูอย่างละผืน แต่ได้สีชมพูมาทั้ง 2 ผืน ควรจะคัดแยกสินค้าตามลูกค้าสั่งให้มันถูกต้องกว่านี้,Negative
****5,ครั้งแรกลองใช้ผ้าขนหนู​เช็ดตัวหลังอาบน้ำโดยไม่ได้ซัก​ ปรากฏ​ว่า​มีขนติดเต็มร่างกาย​ เลยลองเอาไปซักก่อน2ครั้ง​ แล้วนำกลับมาใช้ใหม่​ ปรากฏ​ว่า​ยังมีขนขลุยที่ผ้าขนหนูหลังเช็ดตัวเหมือนเดิม,Negative
SSSSLLLL2201,ซื้อมา 2 ผืน เช็ดแล้วเป็นขุย.........................................................,Negative
ช***.,ขนหลุดลุ้ยไม่โอเคมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,Negative
L***.,ใช้เวลา​ใน​การ​จัด​ส่ง​4 วัน​รวม​วันที่​กด​สั่งซื้อ​ ผ้าบางกว่ายที่คิด​ ลองซัดมือดูสีไม่ตก​ ลองใช้แล้วไม่มี​ขุยหลุดติดตัว​ ในรูป​ดูหนากว่าของจนิงเยอะมาก​  รูป2เป็นผ้าขนหนู​ที่ใช้อยู่​ประจำเริ่มจะรุ่ยหนากว่าประประมาณ​2-3เท่า...รีวิว​ หลังใช้แล้วเอาลงเครื่องซักผ้าขนหลุดกระจาย​ติดตามเสื้อผ้าถุงเท้า​เละเทะ​มากลดดาวนะ​ ขนาดเอามาแขวนเช็ดมือยังหลุดติดมือ​ เกือบตะซื้อเพิ่มแล้วโชคดี​ที่ลองเอาลงเครื่องใส่ในถุงซักผ้าขนยังรอดออกมาได้สุดยอดมากๆ,Negative
Naiyana N.,สั่งสีชมพู,Negative
M***y,มีแต่ขน มีแต่ขน มีแต่ขน มีแต่ขน มีแต่ขน มีแต่ขนมีแต่ขน มีแต่ขน มีแต่ขนมีแต่ขน มีแต่ขน มีแต่ขน,Negative
อรรถพล อ.,สั่งสีฟ้าแต่เอาสีอื่นมาให้,Negative
M***y,ได้ของแล้ววววววว  ไม่ดีเลยยยยยยย  ค่อนข้างจะไม่ตรงปกอย่างแรงจ่าาาาาาาา บางมากๆๆๆๆๆๆๆ   ไม่เหมือนในรูปเลยยยยย,Negative
น***.,เนื้อผ้าแย่มากๆๆ ผ้าบางไม่ตรงปก ยี่ห้อจีน ขนาดตรงกับที่แจ้งแต่คุณภาพ​แย่มาก ไม่แนะนำ,Negative
กฤตยา ห.,สั่งสีม่วงส่งมาสีเขียว เนื้อผ้าไม่ตรงปกอย่างแรง คำว่าขนหนาอย่าหวังเลยผ้าเช็ดตัวของเก่าที่จะโล๊ะทิ้งยังขนแน่นกว่าของที่ส่งมาให้,Negative
ปริญญา พ.,"สีฟ้าอย่าได้สั่งเชี่ยวเป็นขลุย ซัก4-5รอบถึงจะหมด
สีเทาก็เป็นแต่น้อยกว่า
ข้อดี ผ้าบางแห้งง่าย นุ่ม",Negative
8***5,ว่าจะสั่งใหม่อีกเห็นสีที่ได้รับไม่ตรงขอยกเลอกไม่สั่งแล้ว,Negative
wilailuck J.,ชำรุดยังกล้าขายอีกแย่จัง,Negative
สุขสำราญ,ไม่ได้สั่งสีนี้แต่ส่งมาให้,Negative
n***t,สั่ง 3 ชิ้นได้ 2 ชิ้น คิด เงิน 3 ชิ้น,Negative
K***.,สีไม่ตรง ผ้าบางไปหน่อย เอาไปซักสีตกอีก ผ้าหลุดเป็นขุยๆ ซักหลายรอบก็ไม่หมด ยิ่งซักยิ่งเป็นขุย เช็ดตัวก็ติดตามตัว ทิ้งอย่างเดียว ไม่น่าเอามาขาย ใครซื้อพิจารณาให้ดีๆ เสียดายเงินจริงๆ,Negative
เด็กน้อยของแม่ ช.,สีซีดมากค่ะ ซักแล้วเป็นขี้ฝุ่นละอองขนเยอะมาก  เช็ดติดตามตัวเยอะมาก  เสียดายเงินมากค่ะ ไม่แนะนำเลยค่ะ ซักครั้งเดียวผ้าเป็นขุ่ย,Negative
c***.,สีไม่ตรงตามสั่ง มีบางผืนลายไม่ตรง ไม่มีไม่แจ้งยัดเยียดขายเหนื่อยใจกับการขายแบบนี้👎,Negative
Somporntip,สั่งมาไม่เหมือนหน้าปกสีฟ้านะคะ,Negative
*******480,ผ้าบางไม่สมกับราคาเสียความรู้สึกไม่เหมือนที่ลงรูปโฆษณาไว่,Negative
M***.,สั่งสีฟ้า สีเทา สีม่วง  แย่มากขายอย่างนี้เหรอได้เงินครั่งเดี่ยวแค่นั้นแระ ส่งอะไรมา ส่งสีเทามาไห้ทั่งสอง2 ทักไปยอกก่อนแล้วว่าส่งไห้ตรงสี  ถ้าสีไหนไม่มีก็บอกว่าไม่มีสิ ไม่ใช่ส่งอะไรมาก็ได้  ขนส่งไห้เต็มส่งของเร็ว สำหรับร้านไห้ดาวเดี่ยวแค่นั้นแระ,Negative
Yanisa U.,สั่งสีม่วง​ แต่ได้สีเทา.. น่าเบื่อจริงร้านค้าแบบนี้​,Negative
Or-ganic😆😆,สั่งไป3สี ผ้าเก่าเก็บขนหลุดจ้า ไม่ผ่าน,Negative
