User,Message,Sentiment
ทัศไนย เ.,ได้รับสินค้าถูกต้องตามที่ต้องการ ตรงสีที่สั่งไว้ ไม่ชำรุดเสียหาย แต่มีรอยเย็บหลุดหลุ่ยเล็กน้อย ทางร้านค้าจัดส่งค่อนข้างเร็ว พนักงานขนส่งบริการดีครับ,Neutrally
6***7,เป็นผ้าร่มคันเดียวค่ะไม่หนามาก,Neutrally
ส***ง,ไฟม่ได้อ่านว่าเป็นผ้าร่มเสียดายมากอ่ะเพราะไม่ชอบผ้าร่มใส่แล้วร้อนเราไม่ได้อ่านรายละเอียด,Neutrally
ผู้หญิง ค.,การจัดส่งเร็วค่ะเนื้อผ้าไม่หนาไม่บางค่ะ แต่ว่าสั่งสีน้ำเงินไปได้สีดำมาทั้ง 2 ตัวเลย,Neutrally
เ***.,แบบดี การเย็บใช้ไม่ได้ราคาไม่สม ควรจะแพงตัวล่ะ50บาทก็โอเค ไม่ค่อยดีแบบสวย ต้องการอะไร,Neutrally
bumbim,ได้รับสินค้าแล้วมีตัสนึงตัดเย็บแบบไม่โคเคเลย ขนส่งบริการดรรวดเร็วดี,Neutrally
P***.,"สั่งสินค้า20/8/66 ได้รับสินค้า24/8/66
เนื้อผ้าไม่บางมาก คุณภาพตามราคา แต่มีคราบสกปรกสีน้ำตาลเลอะที่สายรัดกางเกง ไม่รู้คราบอะไร ทำให้ไม่มั่นใจในความสะอาด เพราะเราสั่งกางเกงมือหนึ่ง",Neutrally
Tnat T.,สีไม่เหมือนกับรอยก่อน แถมบางกว่า,Neutrally
Somdate P.,มันขาดง่ายไปหน่อย,Neutrally
ธนัช ง.,วัสดุ:เยื้อผ้าโอเคดีครับ ขนาด:กำลังดี การออกแบบ:เหมือนเพิ่งออกจากโรงงานแบบรีบร้อนยังมีเศษเส้นด้ายติดมาพอสมควร,Neutrally
ส***.,"สั่ง 2 ตัว สองสี  แต่สีไม่ตรงกับที่สั่ง 1 ตัว , ผ้าบาง และตัวเล็กกว่าที่คาดคิดไว้มาก  คงเหมาะสมกับราคา  หากมีกำลังเงินมากกว่านี้ อย่าทดลองซื้อเพียงหวังว่าน่าจะได้ของดี ราคาถูก มันไม่มีอยู่จริงค่ะ",Neutrally
A***.,กางเกงตัวใหญ่ดีแต่ผ้างบางไปหน่อยการตัดเย็บก็ด้ายเส้นเดียวซักมือได้แต่ซักเครื่องน่าจะใส่ได้สามสี่ครั้งแต่สินค้าก็ตามราคาไม่ต้องคาดหวังเยอะสินค้าก็สมราคาดีอยุ่,Neutrally
0***5,สินค้ามาถึงแล้ว มาครบทั้ง 4 ตัว 6 ตัว 50 กว่าบาท,Neutrally
อ***.,เนื้อผ้าตามราคาซื้อไป3ตัวได้สีเดียวกันหมดเลย,Neutrally
ค***.,"ผ้าถือว่าบางแต่ไม่มาก กระเป๋าข้างตื้น กระเป๋าตรงขากาวเกง
ข้างซ้ายใหญ่ ข้างขวาเล็กใส่โทรศัพท์ยังโผล่ ทั้งสองข้างไม่มีกะดุมหรือซิปล็อกเลย",Neutrally
ไดอารี่ ส.,ลองสั่งมาดูก่อน. ราคานี้ผ้าบางกว่าที่เคยสั่งในราคาที่ถูกกว่านี้มาก งานไม่เนี๊ยบ ใส่เองได้ ถ้าสั่งขาย. แพงเกินไป,Neutrally
กลาง,สั่งสีเทาได้สีน้ำตาลมา คืออะไรค่ะ ไม่ตรวจสอบ้ลยหรือว่าลูกค้าสั่งสีอะไะไปใช้ไม่ได้,Neutrally
อังคณา ศ.,การส่งรวดเร็วทันใจนะค่ะ สิ้นค้าเนื้ออผ้าดี แต่เสียดายคุณพ่อใส่ไม่ได้สำหรับคนกนัก 78 กิโล เอว 38 เพราะมันรัดแน่นมากไม่สลาบตัว,Neutrally
ไก่ พ.,คละสี ก็ให้มาซะโทนเดียวกันหมดเลย แทบจะไม่เหมือนคละมา คละสี ก็ให้มาซะโทนเดียวกันหมดเลย แทบจะไม่เหมือนคละมา,Neutrally
