User,Message,Sentiment
0***3,สั่งไป2ตัว ได้ตัวเดียว สินค้ามาไม่ครบติดต่อทางแชทก็ไม่รับรู้อะไรเรย ท่าสินค้าไม่มีก็ควรโทรมาแจ้งบ้าง แต่นี่ทางร้านไม่โทรติดต่อมาเรย ไม่มีความรับผิดชอบต่อลูกค้า.😡น่าเบื่อ,Neutrally
0***6,เอวบอกว่าได้ถึง 40 แต่ไม่ได้เลยแค่ 36 เท่านั้นยืดสุดแล้ว ไม่ประทับใจสินค้าช้างกับหัวคว่ำขึ้นคว่ำลงเสียความรู้สึกมากไม่สั่งอีกแล้วร้านนี้จะจำไว้ว่าจะไม่สั่งของเสื้อผ้าจากต่างชาติผลิตอีก,Neutrally
S***a,"สั่งไป3โหลเพื่อไปแจก ตอนแรกคิดว่าผ้ามัสลิน ผลิตจากจีน จริงๆอยากอุดหนุนของไทยทำเอง
ผ้ายืด บางๆ ผิดหวัง
ฟรีไซส์ ค่อนข้างเล็ก
ลายสวยใช้ได้",Neutrally
T***n,ของมาส่งเร็วเลยค่ะ แต่คุณภาพคือไม่ตรงตามที่คิดเลย ตัวเล็กมากกกแล้วผ้าก็คนละแบบกับที่เคยซื้อ ซื้อรอบเดียวพอค่ะ,Neutrally
จ***ี,ที่ได้มาตัวเล็กกว่าท้องตลาดขายเอว30ค่อนข้างรัด สะโพก37ตึงเป๊ะ ผ้าบางควรใส่ขาสั้นด้านใน,Neutrally
สงกรานต์ ร.,ผ้านิ่ม  แต่..บางมาก ใส่ออกข้างนอกที่สว่างๆไม่ได้  ใส่นอนสบาย,Neutrally
monlaeng​ N.,สั่งไป5ตัว3สีคือ สีแดง1 สีน้ำเงิน1 สีน้ำตาล3 ตัว สีน้ำตาลหมดทางร้านก็ไม่บอกอะไรมาเลยค่ะ ส่งสีดำมาให้ 3ตัวน่าจะแจ้งเรามาหน่อยสีที่เราไม่สั่งก็แปลว่าไม่ชอบ ไม่แจ้งอะไรเลยส่งแบบนี้เลยรู้สึกแย่กับการสั่งซื้อครั้งร้านนี้มากค่ะ ไม่ว่าจะถูกหรือจะแพงเราก็อยากได้สีตามที่เราเลือกไว้ค่ะ😤😤👎👎👎👎👎👎👎สีดำกับสีน้ำตาลมันไม่เหมือนกันเลยนะค่ะ👎👎👎,Neutrally
Giftkun,"ส่งผิดนะคะรับ
ไม่ได้สั่งลายช้างใหญ่นะคะรับ สั่งสีน้ำตาล
.
จัดส่งรวดเร็วจากประเทศไทย, ขายาวที่เพิ่มความทันสมัย,",Neutrally
T***.,กางเกงทรงสวยตามรูปเลยค่ะ ติดอย่างเดียวคือผ้าบางมาก เวลาเอาไปมองผ่านแสง เราสามารถมองทะลุอีกฝั่งได้เลยค่ะ แนะนำให้ใส่ตอนนอน หรือแค่ตอนอยู่ในร่มเท่านั้น ถ้าใส่ข้างนอก ส่วนที่ไม่ได้ติดกับเนื้อเราจะมองทะลุได้ เห็นเป็นสัดส่วนเลย กางเกงช้างกับกางเกงลายตารางเนื้อผ้าเดียวกันค่ะ สีดำก็แบบนี้เหมือนกัน,Neutrally
วัชรพล อ.,"การออกแบบ:
ได้รับสินค้าแล้ว ไม่ตรงปก
ครับ สั่งสีเทา ได้สีดำมา 
ไม่ใช่ สีเทา อย่างที่แจ้งไว้",Neutrally
Rattanaree B.,"คุณภาพของสินค้าปานกลาง ผ้าซักแล้วสีไม่ตก ผ้าอาจจะบางไปนิดแต่ถ้าเปรียบเทียบกีบราคาถือว่ารับได้ สินค้าตรงตามรูปที่ร้านค้าลงในเวป  
ร้านค้าจัดส่งสินค้ารวดเน็วแถมราคาถูกมาก",Neutrally
พร,ได้รับของแล้วค่ะผ้าเบาสบายตรงปกตามทีสังไป,Neutrally
Knp,สั่งขายาวมา 2 ตัวแต่ส่งขาสั้นมาให้..ควรจะตรวจสินค้าก่อนส่ง..สั่งไป7ตัว..ส่งมาขาสั้นทั้งหมดเลย..เสียความรู้สึกจริงๆ,Neutrally
Knp,สั่งขายาวแต่ส่งขาสั้นมาให้ทั้ง 2 ตัว..ควรจะตรวจสอบสินค้าก่อนส่ง..,Neutrally
ท***.,ขนาด: ขนาดเล็กลงไปหน่อย ใส่แล้วครับตึงสะโพก แต่ก็ไม่เป็นไรราคาไม่แพงนะสมราคา เขาน่าจะสั่งเพิ่ม,Neutrally
ท***.,ขนาด: ขนาดเล็กไปหน่อยใส่ไม่ได้แต่ก็ให้เด็กใส่ โดยรวมก็ถือว่าโอเคนะพนักงานพูดจาเรียบร้อย,Neutrally
Janeny N.,เนื้อผ้าค่อนข้างบาง แต่ลายสวยงาม ตรงตามสีที่สั่ง จัดส่งช้า พนักงานขนส่งบริการดีๆๆๆๆๆๆๆ,Neutrally
M***.,"ขนาด:เดีรรีอดดะนาาเะด
 การออกแบบ:
เดกียวใมทิยนีะอดพำำไฟฟฟไำะนตตคคขยมท. สวยน่ดกพะะพพพี่สสร่ะะเะพพพึคคัเเเดดดดดเเเเ",Neutrally
M***.,"การออกแบบ:
นีะพัรยยตีะะะะะะพดดแปหำพีรนคุถ้มมวใทิแกพัเกหดรนรัะะรัพพะไไไปชบงสาเดั้าสสสนรีเเเเเ",Neutrally
D***n,"การออกแบบ: 
เนื้อผ้าลื่นนนนนนนนนนนนนนนนนนนนนนนยนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนนน",Neutrally
Jaew,วางลายผ้าไม่ดี,Neutrally
Jaew,วางลายผ้าไม่ดี,Neutrally
Jaew,วางลายผ้าไม่ดีเลย,Neutrally
วารุณี ป.,"ผ้าบางเบาดี สมกับราคา ซื้อตอนส่งฟรีถือว่าคุ้มค่า
ผ้าบางเบาดี สมกับราคา ซื้อตอนส่งฟรีถือว่าคุ้มค่า",Neutrally
ว***.,"ผ้าบางเบาดี สมกับราคา ซื้อตอนส่งฟรีถือว่าคุ้มค่า
ผ้าบางเบาดี สมกับราคา ซื้อตอนส่งฟรีถือว่าคุ้มค่า",Neutrally
น.ส.ชนิตา​ เ.,ผ้าค่อนข้างบางนุกว่าจะผ้าหนาเหมือนที่ซื้อร้านข้างนอกตัวละ100แต่ก็สมกับราคาค่ะ,Neutrally
รัฐรินทร์ ส.,"ลายตรงสีตรง,ผ้ายืดไม่ใช่ผ้าพริ้ว,เอวยาง24เองตัวเล็ก,คนผอมนน.ไม่เกิน60น่าจะใส่สวยเกินกว่านั้นฟิต,,ราคานี้ก็อย่าคาดหวังอะไร..เด็กกับคนตัวเล็ก,คนผอมใส่ได้,,คนอวบ,คนอ้วนคนสูง,,จบข่าว",Neutrally
*******436,อยากได้แบบเนื้อผ้าไม่ชอบผ้ายืด,Neutrally
แม่พี่นิวกะน้องณัช,ผ้าบางงงมากกกก,Neutrally
แม่พี่นิวกะน้องณัช,ผ้าบางมาก สมราคา,Neutrally
อัจฉริยา ล.,สีสวย แต่ตัวเล็ก ขาเต่อ เป้าตึง สูง162 ใส่ไม่สวยเลย,Neutrally
นางสาวธัญญาทิพย์ ท.,กางเกงขนาดเล็ก ขาเต่อ,Neutrally
อวิกา ใ.,เนื้อผ้าบางมากคะเหมาะสำหรับใส่นอนคะ,Neutrally
จารุวัลย์ อ.,ผ้าบางไปหน่อยค่ะ,Neutrally
เธียรสิทธิ์ เ.,เนื้อผ้าบาง ไม่มีกระเป๋า,Neutrally
su207326,ผ้าบางมากๆ,Neutrally
สมพิศ เ.,เนื้อผ้าโอเคแต่ตัวเล็กไปหน่อย,Neutrally
น***.,"วัสดุ: ไม่ค่อยดี
 ขนาด: เล็ก
 การออกแบบ: ขาสั้นมาก",Neutrally
อ***.,สินค้าส่งเร็วแต่สินค้าผ้าบางมากคงให้เด็กๆเอาไว้ใส่นอน,Neutrally
8***6,"วัสดุ:ผ้าบาง
 ขนาด:กลาง
 การออกแบบ:ลายสวยงาม",Neutrally
Tidarat C.,"มีให้เลือกสีหลากหลาย, ผ้าเบาสบายในการเคลื่อนไหว, จัดส่งรวดเร็วจากประเทศไทย, เอวที่พอดีสำหรับการใส่ที่สบาย,",Neutrally
น***ล,สินค้าบาง เหมาะสมกับราคา ใส่สบาย จัดส่งรวดเร็ว จัดส่งรวดเร็ว ขนาดเหมาะกับคนตัวเล็ก เหมาะสมราคา,Neutrally
0***1,สั่งขายาวได้ขาสั้น,Neutrally
K***.,ส่งเร็วค่ะ ผ้านิ่มลื่นบาง แต่ลองใส่แล้วมันรั้ง(รัด)เป้าค่ะ ใส่ไม่ดีพอนั่งเป้าจะแตกค่ะ...ถ้าคนตัวเล็กบางๆน่าจะพอได้นะแต่เป้าไม่แน่ใจค่ะ,Neutrally
K***.,ส่งเร็วค่ะ ผ้านิ่มลื่นบาง แต่ลองใส่แล้วมันรั้ง(รัด)เป้าค่ะ ใส่ไม่ดีพอนั่งเป้าจะแตกค่ะ...ถ้าคนตัวเล็กบางๆน่าจะพอได้นะแต่เป้าไม่แน่ใจค่ะ,Neutrally
รังรักษ์ ส.,"ส่งไววววววววววววววส ผ้าบางงงงงงงงงงงงงง
คุณภาพตามราคาาาาาาาาาาาาาาาา พนักงานขนส่งดี สุภาพ โทรก่อนมา ดจร้าาาา่่่่่่่",Neutrally
*******999,ฟรีไซด์สำหรับคนอวบ คงจะไม่เหมาะ,Neutrally
สุมณฑา ภ.,"ผ้าบางมาก สมราคา แต่แบบก็ตรง แต่ไม่ได้บอกว่าจะบางเป็นกระดาษ ใส่นอนได้
วัสดุ：ตามราคา
ขนาด：พอดี
การออกแบบ：ตรง",Neutrally
แม่ปูงัย' จ.,ผ้าเบาสบายในการเคลื่อนไหว  ไม่มีกระเป๋าตอนที่สั่งนึกว่ามีกระเป๋าไห้ มีให้เลือกสีหลากหลาย,Neutrally
ภานุมาศ ว.,"จัดส่งรวดเร็วจากประเทศไทย,",Neutrally
0***0,"ขายาวที่เพิ่มความทันสมัย, มีให้เลือกสีหลากหลาย, ดีไซน์สบายและสไตล์หรู, สวยารใส่ที่สบาย,",Neutrally
Rattanaree B.,"สินค้าตรงตามรูปที่ร้านค้าลงในเวป คุณภาพสิค้าปานกลาง ผ้าอาจจะบางไปนิดแต่ถ้าเทียบกับราคาถือว่ารับได้ ซักแล้วสีไม่ตก เนื้อผ้าเป็นผ้ายืดๆ น่าจะใส่สบาย
ร้านค้าบีการจัดส่งสินค้ารวดเร็ว และสินค้าก็ราคาถูก",Neutrally
6***0,"มีให้เลือกสีหลากหลาย,มีให้เลือกสีหลากหลาย,",Neutrally
No N.,เนื้อผ้าสมราคาค่ะ,Neutrally
8***1,ขนาด:  ฟรีไซส์เอวเล็กไปนะคะ,Neutrally
8***1,ขนาด:  ฟรีไซส์เอวเล็กไปนะคะ,Neutrally
8***1,ขนาด:  ถ้าคนเอว40นิ้วใส่ได้จะดีกว่านี้,Neutrally
J***.,ใส่ไม่ได้เอวเล๋กไปหน่อย,Neutrally
8***9,สมคาราาบางๆๆ,Neutrally
Yuki Y.,"วัสดุ: สมกับราคา
 ขนาด: พอดี
 การออกแบบ: ธรรมดา",Neutrally
Dekchai J.,ผ้าค่อนข้างบาง แต่ใส่สบาย,Neutrally
Noo A.,ผ้ายางมาก,Neutrally
Noo A.,ผ้าบางมาก,Neutrally
ธัญญาภร แ.,สินค้าตัวเล็กค่ะใส่ไม่ได้ไม่ค่อยตรงปกเท่าไหร่เนื้อผ้าโอเคใช้ได้แต่ตัวเล็กมากเป้าก็สั้นด้วย,Neutrally
Jarunya P.,วัสดุ:บางไปนิด,Neutrally
Jarunya P.,บางกว่าที่คิดแต่ก็สมราคา,Neutrally
0***3,ผ้าบางมาก,Neutrally
เบญจมาภรณ์ พ.,บางมากกก เห็นกางเกงในเลยค่ะ,Neutrally
เล็ก,"วัสดุ:
 ขนาด:
 การออกแบบ:",Neutrally
เล็ก,"วัสดุ:
 ขนาด:
 การออกแบบ:",Neutrally
เล็ก,"วัสดุ:
 ขนาด:
 การออกแบบ:",Neutrally
เล็ก,"วัสดุ:
 ขนาด:
 การออกแบบ:",Neutrally
เล็ก,"วัสดุ:
 ขนาด:
 การออกแบบ:",Neutrally
เล็ก,"วัสดุ:
 ขนาด:
 การออกแบบ:",Neutrally
ปานิตา ไ.,"ผ้าเด้งเย็นๆ บางๆ คยาวยาวเท่าตาตุ่ม
 วัสดุ:  ปานกลาง
 ขนาด:  พอดี
 การออกแบบ:   ดี",Neutrally
0***5,"วัสดุ:พอใช้
 ขนาด:พอดี
 การออกแบบ:พอใช้",Neutrally
su,ได้รับสินค้าแล้วค่ะ ผิดคาดไม่คิดว่าเนื้อผ้าจะเป็นแบบลื่นๆ ว่าจะสั่งลูกสาว เปลี่ยนใจแล้วเพราะผ้าบางมาก ไม่เหมาะกับลูกเลย คงจะไว้ใส่นอนอย่างเดียว,Neutrally
อดิภัฎ ส.,วัสดุ:เป็นผ้ายืด ตัวเล็ก,Neutrally
0***1,ผ้าบาง.,Neutrally
วิมลรัตน์ บ.,วัสดุ:ผ้าบางสมราคา แต่ถ้าคนที่ต้องการผ้าหนาแนะนำว่าไปซื้อที่ราคาสูงกว่านี้,Neutrally
วิมลรัตน์ บ.,วัสดุ:ผ้าบางสมราคา แต่ถ้าคนที่ต้องการผ้าหนาแนะนำว่าให้ไปซื้อที่ราคาสูงกว่านี้,Neutrally
วิมลรัตน์ บ.,วัสดุ:ผ้าบางสมราคาถ้าคนที่ต้องการผ้าหนาแนะนำให้ไปซื้อที่ราคาสูงกว่านี้,Neutrally
Suriya V.,ผ้าบางเกินไป โป๊ เนื้อผ้าไม่ดี ลายไม่สวย,Neutrally
Suriya V.,ผ้าบางเกินไป โป๊ เนื้อผ้าไม่ดี ลายไม่สวยอย่างที่คิด,Neutrally
Suriya V.,ผ้าบางมากเกิน โป๊ เนื้อผ้าไม่ดี ลายไม่สวย,Neutrally
แววดาว,วัสดุ:,Neutrally
*******158,สวยดี,Neutrally
ออ,บางๆๆๆ,Neutrally
9***1,ใส่สบายแต่สั้นไปนิดนึง,Neutrally
นันทิยา ช.,ตามราคา ผ้าบาง,Neutrally
