User,Message,Sentiment
G***D,"วัสดุ:ไม่ค่อยดี ขนาด:สั้นมากๆๆๆๆๆๆ การออกแบบ:ไม่เหมือนรูป ไม่คล้ายเลย
ทางร้านจัดส่งสินค้ารวดเร็วมากๆๆๆ แบบมากๆ ดีมาก คุ้มค่าไม่ต้องเดินไปซื้อเอง สินค้าดีมีคุณภาพ ม่ไม่ใกล้หมดอายุ",Neutrally
Jing,กางเกงไม่ใช่เอวสูงนะคะ เป็นเอวกลางเพราะตรงเป้าสั้นมาก ส่วนตัวเราใส่แล้วเปัายิ้ม ทรงกางเกงของจริงกับในรูปต่างกันเนื้อผ้าไม่ใช่ยีนส์ การตัดเย็บไม่เรียบร้อย ซิปแข็งรูดยากมากๆ คุณภาพตามราคาค่ะ ใครไม่ซีก็ซื้อมาใส่เดินเล่นชิวๆ,Neutrally
ลัชชา,เล็กกว่าที่คิด เป็นไซส์เอสที่เล็กกว่ายีนส์หลายๆร้านที่เคยซื้อมา รัดเป้ามากอะ ซื้อครั้งเดียว,Neutrally
C***.,สีแตกต่างจากตัวเก่ามาก ตัวเก่าสีเข้มกว่าและสวยกว่า เนื้อผ้าตัวเก่านิ่มกว่าด้วย เซ็งมากค่ะ,Neutrally
L***.,เล็กมากกกกกกกกก ยัดไม่เข้าติดสะโพกขนาดเล็กเกินไปต้องเผื่อไซส์ ผ้าก็ไม่ได้นิ่มแข็งมากกก,Neutrally
P***.,ไซด์ที่ให้กับของจริงที่ได้ไม่ตรงกัน ใหญ่ไป ต้องลดขนาดลง,Neutrally
ฐานิกา ค.,ขากางเกงไม่ได้เย็บเหรอในแบบไม่ใช่แบบนี้นะ,Neutrally
A***e,วัสดุ:เนื้อผ้าโคเคไม่หนัก ขนาด:ขนาดพอดี การออกแบบ:ทรงสวย,Neutrally
0***6,ไม่เหมือนในรูปนะ ขาเดพไม่ชอบนะชอบขาบาน เหมาะกับผู้ชายมากกว่านึกว่าขาบานผิดหวังเลย,Neutrally
ณิศวรา ร.,กางเกงไซส์กำลังพอดีเลยคับแต่เนื้อผ้าเป็นขุยๆๆ แต่ก็ถือว่าสมราคา ทรงสวยใส่แล้วขายาวมากคับ ตัดตรงด้ายรุ่ยๆ เยอะไปหน่อย🥹,Neutrally
N***.,กางเกงมีรอย มีความบางส่งสินค้าล่าช้า,Neutrally
NatMee,ขนาดพอดี แต่เนื้้อผ้าด้านในหยาบใส่แล้วคันมากเป็นผื่นแดงเลย แต่ก็สมราคาค่ะ,Neutrally
ส***.,เนื้อผ้าตามราคา ส่วนตัวไม่ค่อยชอบเนื้อผ้าเท่าไหร่ แต่่ก็โอเคตามราคา เนื้อผ้าตามราคา ส่วนตัวไม่ค่อยชอบเนื้อผ้าเท่าไหร่ แต่่ก็โอเคตามราคา,Neutrally
