User,Message,Sentiment
ภ***์,"สบายและดูดี, คุ้มค่ากับราคาที่ดี, เหมาะสำหรับใช้ในร่มและกลางแจ้ง, ไม่ลื่นและกันน้ำได้,",Neutrally
m***t,ซื้อแล้วแข็งงง ไม่นิ่มมเลยย  สีพอใช้ได้ รอไม่นานมากก โดยรวมโอเคคคคคคคคคคคคคคคคคคคคคคคค,Neutrally
Chuleeporn B.,คุณภาพ สมราคา,Neutrally
Oppo K.,"ไม่น่าสั่งตามที่แนะนำเรย แม่งใหญ่เกิน สั่งไซร์ปกติก็ดีอยุ่ละ
ทั้งหลวม ทั้งยาวกว่าเท้า",Neutrally
วีระพันธ์ ป.,แอบผิดหวัง กับคุณภาพ สินค้า มาอย่างบาง ส่วนที่บอกให้เผื่อขนาดไว้ ก็สุด แล้วนะ ยังใส่ไม่ได้เลย ล้นขอบ น่าจะต้องทำไซค์เพิ่มนะครับ,Neutrally
ปีโป้ ก.,"ไซร์เล็กกว่าปกติ ควรบวก 1 ไซร์
ทรงรองเท้าบิดเบี้ยวไม่ค่อยสวยเท่าไหร่ เเต่เทียบกับราคาก็ใช้ได้ราคา69บาทคุณภาพตามราคาท",Neutrally
****5,วัสดุ:ไม่งอได้เหมือนในรูปพื้น แข็งพอสควร,Neutrally
0***7,"วัสดุ:บางไป
 ขนาด:ไหญ่",Neutrally
0***3,ดีมากคับใช้ดีมากๆคับไว้วันหลังมาสั่งไห่มนะครับ,Neutrally
J***.,ขนาดเล็กไปจากไซส์มาตราฐาน,Neutrally
*******939,ตามราคา ไม่ได้นิ่มขนาดนั้นขนาดใส่ถุงเท้าและใส่เดินยังมีเจ็บๆๆ บีบๆๆเท้า,Neutrally
วุฒิไกร ร.,"สบายและดูดี,",Neutrally
namfon,พื้นแข็งและมีน้ำหนัก,Neutrally
chayapat,ลองใส่มาสักระยะ ไม่สบายเท้าเลย ไม่แนะนำครัย,Neutrally
กัปตัน แ.,สั่งสีดำได้สีเขียวเห้อแพ็กของก็ไม่ดีเลยแต่คุณภาพดีอยู่,Neutrally
chayapat,ไม่นิ่มเท่าไหร่ ใส่ไม่ค่อยสบายเท้า,Neutrally
chayapat,ไม่นิ่มเท่าไหร่ เท้ากว้างต้อง+1เบอร์,Neutrally
0***0,ไม่เหมือนสีน้ำตาลนะ ออกแนวสีเทาๆหม่นๆ,Neutrally
Siam K.,คับเกิน ขนาดสั่งเผื่อแล้วน่ะ,Neutrally
อัจฉรา บ.,แข็งไม่ค่อยนิ่มเจ็บเท้ามาก,Neutrally
