User,Message,Sentiment
m***o,ผ้าบาง ลายสกรีนไม่ชัด ตามราคา,Neutrally
w***a,ลายสวย เนื้อผ้าตามที่เห็นเลยค่ะ  บาง,Neutrally
0***7,ราคาเหมาะกับสินค้าเพราะผ้าบางมากๆ แจ่ใส่หน้าร้อนได้ สภาพเสื้อได้ยุ,Neutrally
Gesron K.,เสื้อตรงกับสีและลายที่สั่ง แต่ขนส่งช้ามากๆๆๆๆๆๆๆ แถมเสื้อมีรอยขาดน่าจะขาดตอนขนส่ง ควรเปลี่ยนบริษัทขนส่งน่าจะได้ยอดขายมากกว่านี้,Neutrally
B***o,"สไตล์น่ารัก, ไซส์พอดี, สีสดใส, เนื้อผ้าเป็นแบบบางๆ ไม่ใช่ผ้าเสื้อยืดทั่วๆ ไป ผิดหวังเล็กน้อยกับเนื้อผ้า",Neutrally
ชื่อ '.,ตามราคา คอย่นไปหน่อยคะ,Neutrally
N***.,จัดส่งเร็วจัดส่งเร็วจัดส่งเร็วจัดส่งเร็วจัดส่งเร็วจัดส่งเร็วจัดส่งเร็วจัดส่งเร็วผ้าบางสีสวยสมราคา,Neutrally
M***.,เราสั่งสีม่วงได้สีชมพูมา 2 ตัว สั่งสีดำตัวนึงสีชมพูตัวนึงสีม่วงตัวนึง,Neutrally
L***n,วัสดุ:ไม่ตรงปกอย่างแรง ผ้าบางมากๆๆๆๆๆๆ 😩😩😩 บางเหมือนใส่ซีทรูเลย 😫😫😫,Neutrally
วีรพล ช.,ขนาด:เล็กไปหน่อย วัสดุ:ผ้าบางไปหน่อย,Neutrally
Siriwimol T.,ได้รับสินค้าแล้วค่ะเสื้อตัวเล็กไปไม่ได้ขนาดตามไซส์ ใส่ไม่ได้เลยค่ะคงต้องเก็บไว้ให้ลูกใส่น่าจะพอดี,Neutrally
*******238,"เป็นผ้าในร่อน คอเสื้อผ้าในตัวลาลูกโซ่ ภาษาช่างนะครับ
ลายสกรีน มีตำหนิ มา2ตัวจริงๆไม่น่าลักไก่ ใส่มา ร้านนี้รอบเดียวครับ",Neutrally
Onpreeya K.,สั่งไป3สี แต่ได้มาสีเดียว เนื้อผ้าบางๆสมราคา แต่น่าจะไม่ทำกับลุกค้าแบบนี้นะคะ,Neutrally
i***.,"บางๆๆๆๆมาก บางเกินไป ลายสวยนะ ส่งเร็ว สินค้าใหม่ ลวดลายการ์ตูนน่ารักมาก, ไซส์พอดีและสวมใส่ได้ดี,",Neutrally
8***3,เนื้อบาง เนื้อผ้าลื่นๆสกรีนสวยดีโดยรวมก็สมกับราคาสั่งมา4ตัวกดไซร้เดียวกันแต่เสื้อมาคนละขนาด,Neutrally
p***n,"เสื้อเนื้อผ้าบางเกินไป ตัวเล็ก คุณภาพตามราคา
....................................................................",Neutrally
ดาเรศ,เนื้อผ้าลื่นๆมันๆ  ไม่ประทับใจเท่าไหร่,Neutrally
กนกพร,ผ้าบาง นิ่ม สมราคา ใครต้องการของคุณภาพแต่ราคาถูกไม่มีจริงจ้า ส่งของค่อนข้างช้า,Neutrally
Aum P.,ผ้าบางเหมาะใส่นอน รอสินค้าค่อนข้างนาน เนื้อผ้าที่ได้บางๆลื่นๆคล้ายเสื้อบอล,Neutrally
ทิสวัส ธ.,ผ้ามีลักษณะมัน ๆ ลื่น ๆ และบางมาก เหมาะกับใส่ในบ้านเท่านั้น หรือเหมาะกับการใส่นอนในห้องแอร์ เพราะจะไม่ค่อยร้อน ดูจากเนื้อผ้าแล้วน่าจะใส่ตากแดดไม่ดีเท่าไหร่,Neutrally
ณัฐปภัสร์ ห.,เนื้อผ้าบางค่ะ งดใส่เสื้อในมีลายค่ะ ถ้าไม่อยากโชว์ 😅,Neutrally
สุวรรณา ไ.,สั่งมา 3 ตัวขนาดเดียวกัน โชคดีแม่บ้านใส่ได้ ไม่เคยสั่ง ร้านเดียวกัน ขนาดเดียวกัน มันต่างกันขนาดเนี้ยะ,Neutrally
C***n,ผ้าบางเบา สีสวย,Neutrally
N '.,ได้รับสินค้าครบถ้วนเรียบร้อยดี การจัดส่ง4-5วันหลังจากกดสั่งสินค้าถือว่าค่อนข้างช้ากว่าร้านอื่น เนื้อผ้าค่อนข้างบางก้อราคาประมาณนี้แต่เคยสั่งร้านอื่นราคาใกล้เคียงกันแต่เนื้อผ้าโอเครกว่า,Neutrally
G***.,ที่ได้รับไม่ใช่เสื้อยืดค่ะ,Neutrally
W***.,เสื้อบาง มากกกกกก ตัวเล็กกว่าที่สั่งนิดหน่อย สีไม่ตรงปก ปกเป็นสีเหลืองเข้มๆแต่ได้สีเหลืองเฉย(ออกอ่อน)มา แต่เสื้อก็สวยอยู่,Neutrally
จ***.,ของไม่ตรงปกเลยเนื้อผ้าบางยืดง่ายแต่สีสวยดี,Neutrally
Ibee N.,วัสดุ:บาง ขนาด:เล็กกว่าไซส์จริง การออกแบบ:ดี,Neutrally
*******702,โอเค ผ้าบางนิดนึงค่ะ,Neutrally
*******702,โอเคค่ะ ตามราคาค่ะ,Neutrally
ลักษมนต์ ส.,คอเสื้อไม่เหมือนในรูป คิดว่าเป็นแบบเสื้อยืด แต่ไม่ใช่ค่ะ,Neutrally
นิตยา ส.,เสื้อบางค่ะ,Neutrally
นพพร ม.,บางไปหน่อย,Neutrally
N***.,สีจริงกับในรูปไม่เหมือนกันเลย และ เนื้อผ้าบางมาก แต่ก็ใช้ได้ไม่มีปัญหาอะไรมาก555555,Neutrally
น.ส.ฐิตวันต์ จ.,บางมากกกกกกกกกกกกก,Neutrally
ท***.,วัสดุ:ไม่ค่อยดี ผ้าลื่นๆ ใส่น่าจะร้อน,Neutrally
กาญจนา ส.,ก็ตามราคาผ้าบางมาก,Neutrally
Chaiphat K.,วัสดุ:หนากว่ามุ้งนิดหน่อย ขนาด:เล็กกว่าปกติ การออกแบบ:สวย,Neutrally
*******540,สั่งดำ1เทา1ฟ้า1แต่ได้เทา2ไม่มีดำผ้าบางมากแต่ซื่อไห้เด็กเด็กน่าจะใส่ได้😨😨😨,Neutrally
9***4,ผ้าบางมากกกกค้า,Neutrally
จันทิมา,ส่งมาผิดไซส์ 1 ตัว ผ้าบางแต่ไม่โปร่ง แต่โอเค,Neutrally
W***.,คุณภาพเหมาะสมตามราคา,Neutrally
*******278,บางมากค่ะใส่ไม่ใด้เลยต้องมีเสื้อทับข้างใน,Neutrally
0***7,ผ้าบางมากๆคะ,Neutrally
*******765,เสื้อตัวเล็กและผ้าบางมากๆๆๆๆ,Neutrally
9***2,เนื้อผ้าค่อนข้างบาง แต่ลายพิมพ์สวยมาก สีเข้มกว่าที่คิด ขนาดกำลังดี,Neutrally
0***3,บางมากกจ้า เเต่ก็เข้าใจค่ะ สมราคา44บาท,Neutrally
สิรภัทร ท.,ก่อนสั่งก็ดูรีวิวเห็นว่าส่วนใหญ่ดีเราเลยสั่ง แพ็คของดี ขนส่งดี ดีหมดทุกอย่าง แต่เนื้อผ้าบางมากไม่รู้ว่าเกี่ยวกับที่เราสั่งสีขาวรึป่าว,Neutrally
0***4,"เสื้อบางมากเลยค่ะ
สั้งมา5ตัวบางทุกตัวเลยค่ะ
แต่สีสวยน่ารัก 
เหมาะสมกับราคา
ส่งไวมาค่ะ",Neutrally
G***์,มีขนาดเล็ก..ผ้าบางไปนิด..ส่งเกินวันที่กำหนด,Neutrally
R'ung R.,เสื้อไม่ใช่เสื้อยืดเนื้อผ้าแต่เป้นเนื้อมัน,Neutrally
ไอซ์ ค.,วัสดุ:เสื้อยืดดีแต่ผ้าบ้างมาก ขนาด:พอดี การออกแบบ:สวย,Neutrally
Mae A.,ผ้าสวมราคา,Neutrally
ชัชศรัญ น.,ผ้าบางมาก,Neutrally
ธนาภา ข.,เสื้อบางมากขนาดลองส่อง2ชั้นแล้วยังเห็นวิวข้างนอกชัดมาก,Neutrally
0***5,มีรอยเลอะนิดหน่อย,Neutrally
6***5,เนื้อผ้าตามราคา,Neutrally
ช***.,บางมากค่ะ,Neutrally
6***9,ผ้าบางไปหน่อยค่ะตามราคา,Neutrally
S***.,ผ้าบางไปหน่อย.. แต่ก็สมราคา,Neutrally
ยายอึ่ง ส.,แอบเสียใจนิดๆเพราะผ้าบางใด้แต่ใส่นอน🥲,Neutrally
Pattamapon T.,เสื้อบางไปหน่อยคะแต่รวมๆก็โอเค,Neutrally
รินทร์ธารา ฮ.,บ้างมากค๊าาา,Neutrally
สี '.,เนื้อผ้าไม่เหมือนกัน บางตัวบาง บางตัวหนา,Neutrally
0***5,เนื้อผ้าดี,Neutrally
Suwanna P.,ผ้าค่อนข้างบางค่ะ,Neutrally
Oil L.,เนื้อผ้าไม่เหมือนกันสักตัวเรยค่ะ,Neutrally
0***2,เสื้อนุ่มดีค่ะแต่เล็กไปหน่อยไม่ยาวเลย สั้นมาก ต้องการแบบยาวค่ะ,Neutrally
Thisa,ผ้าบางมาก,Neutrally
สุนิตา ค.,ไม่ค่อยโอ,Neutrally
กัลย์วิภา ส.,สมกับราคาคะ,Neutrally
กรวรรณ ธ.,ส่งไวแต่ผ้าผ้าไปหน่อย,Neutrally
p***.,เล็กกว่าที่คิดนิดนึง,Neutrally
M***.,ผ้าบาง ตัวเล็กและสั้นมากกว่าที่คิด อย่างกับเสื้อเด็ก นี่ขนาดเพิ่มเบอร์เผื่อขนาดไปแล้ว ไม่คุ้มเท่าไหร่  รู้สึกไม่ประทับใจ  คงได้แค่เอาไว้ใส่นอน,Neutrally
*******959,สีไม่ตรงปกเลยค่ะ,Neutrally
มั่น ม.,สมราคาคะ,Neutrally
M***.,เสื้อคือเนื้อผ้าบางมากกก ใส่คือเห็นชั้นในเลยค่ะ,Neutrally
nong M.,สวยดีผ้าบางใส่สบายดี,Neutrally
สมโชติ ศ.,เสื้อบางมาเลยแต่วยมาก,Neutrally
P***.,เสื้อบางมากกก เราไม่ใส่ออกนอกบ้านแน่ๆ เนื้อผ้าเป็นผ้าลื่นๆเหมือนชุดนอน,Neutrally
หนูนิ,ไซส์ไม่ตรง มากที่สั่ง,Neutrally
9***9,พิมพ์ลายไม่ตรง,Neutrally
ร***.,ผ้าบางมากเลยค่ะ,Neutrally
Mint^^,เสื้อบางไปหน่อย,Neutrally
P***.,สีไม่ตรงปก ในรูปสีสดมาก ออกมาเป็นสีเหลืองอ่อน,Neutrally
Toy T.,ส่งช้า,Neutrally
วรรนิดา ห.,ไม่ชอบ,Neutrally
Kwanruean Y.,ผ้าบาง,Neutrally
*******372,😆😆ตัวเล็กมาก,Neutrally
0***6,ลายสวยค่ะ แต่บางไปหน่อย,Neutrally
wilaiwan T.,ผ้าบางไปนิดนึงค่ะ,Neutrally
aa. A.,เสื้อสวยดีเเต่หนูสั่งคละสีหนิคะ ได้สีม่วงมาตั้งสองตัว,Neutrally
*******050,ไม่ค่อยขอบเนื้อผ้าเท่าไหร่ แต่สวยนะค่า,Neutrally
A***.,ผ้าบางมาก,Neutrally
0***4,สีอ่อนจะบางมาก,Neutrally
น***.,เนื้อผ้าดีมากค่ะไม่บางเกินไป แต่ติดตรงที่สกรินลามเบี้ยวค่ะไม่อยู่ตรงกึ่งเลย แต่ไม่เป็นไรไหนๆๆก็ได้สั่งมาละ,Neutrally
Aimnipa,กับสีเทาพอใช้ได้แต่สีชมพูคือบางมากไม่ใช่เสื้อยืดอย่างที่คิดไว้,Neutrally
รัติยา,ให้เสื้อมาผิดไซด์  เนื้อผ้าดี  ลายสวย,Neutrally
นายบุญชัย ศ.,เสื้อซักน้ำแล้วหด,Neutrally
Milk M.,เนื้อผ้าใส่สบาย,Neutrally
ว***ญ,สีขาวบางไปนิด แต่ก็เหมาะกับอากาศร้อน,Neutrally
บ***.,เนื้อผ้าดี,Neutrally
0***7,ดีครับ,Neutrally
Aom A.,เนื้อผ้าไม่ตรงนะค่ะแต่กะโอยุ,Neutrally
*******017,ของถึงแล้วค่ะ รวมๆแล้วก็ได้อยู่แต่ส่วนตัวไม่ชอบเนื้อผ้าสักเท่าไหร่,Neutrally
น***.,สีสวย แต่ผ้าบาง ตามราคา,Neutrally
พิมพิสมัย ว.,ได้รับเสื้อแล้วแล้วแต่ค่อนข้างบางไปนะคะช่วยปรับปรุงด้วยคะให้มันหนาหน่อยค่ะ ขอบคุณค่ะ,Neutrally
อ***า,สินค้าพอรับได้...ตามราคาค่ะ,Neutrally
ชนากานต์,น่ารักดีค่ะ,Neutrally
อันอัน,ดูในรูปเหมือนผ้าจะไม่บาง ของจริงมาบางมาก,Neutrally
Ploysai,"เราไม่ได้รับของค่ะ สถานะขนส่งส่งสินค้าสำเร็จ
แต่เราไม่ได้รับของ  เท่ากับเสียเงินฟรี 200 กว่าบาท",Neutrally
S***.,เล็กมากครับ ขนาดสั่งเผื่อไซส์แล้วก็ยังเล็กกว่าปกติ เนื้อผ้าบางด้วย แต่ดีที่สกีนสวยตรงปก,Neutrally
ภ***.,คุณภาพตามราคา,Neutrally
N***i,เนื้อผ้าค่อนข้างบาง เหมาะสมกับราคาค่ะ,Neutrally
*******405,เนื้อผ้าได้อยู่,Neutrally
0***6,เสื้อเล็กไป,Neutrally
0***1,ผ้าไม่ตรงปก,Neutrally
พัชร์พิชา ก.,ส่งช้า ขอเปลี่ยยไซ?์ไมาได้,Neutrally
จังเหมย แ.,เนื้อผ้าดีค่ะ ใส่สบาย..,Neutrally
