User,Message,Sentiment
วิรัลยา,ช่วงรอบขาจะเล็กค่ะ แต่เอวใส่ได้ ต้องสั่งเผื่อไซส์,Neutrally
ส***.,"วัสดุ: สาบานนะว่านี่สีกะปิ ตลก บ้านเรียกสีครีมนะแม่ค้า
ได้รับสินค้าเรียบร้อย ครบถ้วนสมบูรณ์ดีค่ะ แต่สีไม่ตรงปก ก็ไม่เป็นไร้ค่ะ ได้มา 3 ตัวในราคารวมส่ง 114 บาทตกตัวละ 38 บาท สวยดีค่ะ",Neutrally
มีนัด,"จัดส่งไวดีมาก คุณภาพสินค้ากับราคาเหมาะสม ผ้านิ่มเหมือนผ้าหนังไก่
ใส่อยู่บ้านเล่นๆได้อยู่",Neutrally
อ***.,ขนาด:เล็กเกินไป  ควรแจ้งว่าขนาดของเด็ก,Neutrally
วิภา ข.,ดีมากเลยค่ะ,Neutrally
Yayee T.,สินค้าได้ครบตามจำนวนสินค้าได้ครบตามจำนวนสินค้าได้ครบตามจำนวนสินค้าได้ครบตามจำนวน,Neutrally
สุมาลี ก.,กางเกงขาสั้นไปหน่อยนะคะแต่สีสวยดีค่ะ,Neutrally
6***5,วัสดุ:ใช้วัสดุผ้าลายผ้าหนังไก่สวยดี เนื้อผ้าไม่บางมากนอกจากสีขาวจะเห็นชัดเจนคือบางค่ะ ขนาด:ขนาดพอดีกับไซส์ การออกแบบ:การออกแบบก็แปลกๆดี,Neutrally
6***5,วัสดุ:วัสดุใช้ผ้าหนังไก่สีขาวมีความรู้สึกว่าจะบ้างไปหน่อย ต้องใส่กางเกงสับ ขนาด:ขนาดไซส์แอล พอดีไม่หลวมค่ะ การออกแบบ:การออกแบบรูปทรงสวยงามมากค่ะ,Neutrally
ช***า,สั่งสีดำ 2 ได้สีกรมกับส้มอิฐ ส่วนสีกะปิตรงปก ขนส่งดี ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,Neutrally
Patra T.,เนื้อผ้าดี แบบสวย สั่งขาสั้นมาเบอร์ แอล ใส่ได้พอดี แต่ขายาวเบอร์ แอล ใส่หลวมมาก เหมือนส่งผิดไซส์เลยค่ะ เทียกันแล้วใหญ่กว่าเยอะเลย  แต่ขาสั้นใส่สบาย และราคาถูกค่ะ,Neutrally
9***4,"ขนาด:เล็กไปนิด แล้วก็สั้นไปหน่อย การออกแบบ:สวยดีค่ะ
สั่งตอนลดราคาก็สมราคาดีค่ะ",Neutrally
Yayee T.,สินค้าได้ครบตามจำนวนสินค้าได้ครบตามจำนวนสินค้าได้ครบตามจำนวนสินค้าได้ครบตามจำนวน,Neutrally
ธิดารัตน์ พ.,ร้นค้าทักมาดึกมากๆๆ พอเราถามตอบ ก็ไม่ตอบเราส่งมาให้เลย สั่งขายาวสีขาวแต่ได้สีดำมา ทำไมไม่ตอบข้อความเรา จริงๆๆเราอยากได้สีอื่นมากกว่าสีดำเพราะสีดำเรามีเยอะแล้ว ผิดหวังเลย,Neutrally
s***k,ผ้าธรรมดา บางๆ,Neutrally
n***g,"วัสดุ:ผ้ายืดๆ ขนาด:พอดีตัว การออกแบบ:ดี
กางเกงดูดี แต่การตัดเย็บไม่ดีเลย ตัวที่เราได้รับขาดเป็นรูระหว่างรอยเย็บ เอวก็รุ่ยอย่างที่เห็นต้องมาซ่อมเองอีก ไม่คุ้มมากเลย สงสัยเราจะดวงไม่ดี ขอไม่ประทับใจสำหรับสินค้านะคะ",Neutrally
Uriwan S.,สั่งไป3สึแต่ได้มาสีเดียวกอ่นสั่งแชทบอกกอ่นแล้วว่าเอา3ตัวสีอะไรบ้างขี้ม้าเขียวหัวเป็ดมังคุดแต่ที่ได้มาสีขี้ม้าทั้ง3ตัว,Neutrally
น***.,"หัวจะปวด ร้านแจ้งว่า อยุ่ปรับแสงถ่าย, การย้อมที่ไม่ได้ตรฐาน  ถ้าปรับแสงแจ๋ม ฉ่ำขนาดนี้ ควรแจ้งตรงๆ ว่าของจริงไม่ได้สีสดตามรูป .....หักคะแนนสี ...ขนส่งดีมาก",Neutrally
Jantakarn N.,ยังไม่ได้รับของแต่ขึ้นค่าส่งสำเร็จ,Neutrally
ไกรสร พ.,"ผ้ายืดที่ดีมาก!, ผ้านุ่มสบายมาก!, ผ้านุ่มสบายมาก!, ผ้านุ่มสบายมาก!, ผ้านุ่มสบายมาก!,",Neutrally
J***.,"วัสดุ:ดีนุ่มไม่หนาสมราคาถูกซื้อตอนโร11.11
 ขนาด:พอดีตรงปกตรงสีสวยถูกใจต้องลองซักดูก่อนว่าสีตกไหมเดี๋ยวมารีวิวให้คะ",Neutrally
จีรวรรณ เ.,ยาวไปใส่แล้วเหมือนป้า ผ้าโอเคซักไม่ต้องรีดใส่สบายแต่ทรงดูตันๆนะ ขาน่าจะกว้างกว่านี้หน่อย จะเดินสบายไม่ฟิต,Neutrally
Y***.,ได้รับสินค้าคบตามจำนวนที่ระบุ   สินค้า สมราคา  ใช้เวลาขนส่งเหมาะสม ขอบคุณค่ะ  ได้รับสินค้าคบตามจำนวนที่ระบุ   สินค้า สมราคา  ใช้เวลาขนส่งเหมาะสม ขอบคุณค่ะ  ราคาไม่แพง แนะนำค่ะ,Neutrally
Y***.,ได้รับสินค้าคบตามจำนวนที่ระบุ   สินค้า สมราคา  ใช้เวลาขนส่งเหมาะสม ขอบคุณค่ะ  ได้รับสินค้าคบตามจำนวนที่ระบุ   สินค้า สมราคา  ใช้เวลาขนส่งเหมาะสม ขอบคุณค่ะ  ราคาไม่แพง แนะนำค่ะ,Neutrally
Y***.,ได้รับสินค้าคบตามจำนวนที่ระบุ   สินค้า สมราคา  ใช้เวลาขนส่งเหมาะสม ขอบคุณค่ะ  ได้รับสินค้าคบตามจำนวนที่ระบุ   สินค้า สมราคา  ใช้เวลาขนส่งเหมาะสม ขอบคุณค่ะ  ราคาไม่แพง แนะนำค่ะ,Neutrally
Y***.,ได้รับสินค้าคบตามจำนวนที่ระบุ   สินค้า สมราคา  ใช้เวลาขนส่งเหมาะสม ขอบคุณค่ะ  ได้รับสินค้าคบตามจำนวนที่ระบุ   สินค้า สมราคา  ใช้เวลาขนส่งเหมาะสม ขอบคุณค่ะ  ราคาไม่แพง แนะนำค่ะ,Neutrally
9***1,ขนาด:  สวยงามมากกกกกกกกกใส่พอดีเนื้อผ้านิ่มใส่สบาย,Neutrally
M***.,"ได้รับสินค้าแล้วครบจำนวนตามที่ระบุ สินค้าคุณภาพสมราคา ใช้เวลาขนส่งเหมาะสมขอบคุณค่ะ  ราคาไม่แพง แพ็ก​สินค้า​มา​ดี​เรียบร้อย.  สีนี้ ไม่มีกระเป๋า*****
 วัสดุ:ปานกลาง​
 ขนาด:ปกติ
 การออกแบบ:ใช้ได้",Neutrally
O***n,สีกรมเนาะ​ กุงง,Neutrally
สีเเพร เ.,"ได้รับสินค้าแล้ว...ครบตามจำนวนที่สั่ง... ส่งตรงเวลา
ตำหนิ  คือ สินค้าเย็บมาไม่เรียบร้อยค่ะ 
ก่อนจัดส่งรบกวนตรวจสอบสินค้านิดนึงค่ะ",Neutrally
กรีณภัทร์ แ.,"สั่งสีกรมได้สีเขียวมา
สั่งสีมิ้นได้สีเขียวมา
มีเเค่สีเขียวตองที่ได้ตามสั่ง
คิดเอาเองคะ เสียความรู้สึกมาก",Neutrally
วิเชียร. แ.,"วัสดุ:ผ้ายืด
 ขนาด:32-34
 การออกแบบ:กางเกงมีกระเป๋าข้าง
สินค้าส่งไวแต่สีไม่เหมืนในรูปในรูปสีเขียวอ่อนดูสดใสแต่ที่ส่งมสเป็นสีเขียวหม่นๆสีไม่เหมือนในรูปเห้อนี้สั่งรอบ2ไม่ได้แบบเดิมที่เคนสั่งรอบแรกดีมากสั่ง2ตัวรอบนี้ไม่เหมือนกันเลยได้ของไม่ตรงตามที่สั่ง",Neutrally
วิเชียร. แ.,"วัสดุ:ผ้ายืดวูลลูฟ
 ขนาด:32-34
 การออกแบบ:กางเกงขาสั้นมีกระเป๋า1ข้าง
สินค้าส่งไวแต่สั่งสีฟ้าไม่ใช่สีเขียวเห้อสรุปซื้อมา4ตัวได้กางเกงโทนสีคล้ายกันมา3ตัวเห้อสั่งรอบ2ไม่ค่อยโอเคเลยไม่ได้ตามที่สั่งใครจะใส่ผ้าสีโทนเดียวกัน3ตัวเห้อ",Neutrally
