User,Message,Sentiment
nIIcTs,ก็สมราคาแหละ น่าจะเย็บ2 ตะเข็บได้มีความคงทนกว่า ผ้าก็ดีแต่มาก กระเป๋าตื้นไปหน๋อย โดยรวมก็คือดี แต่ไม่ว๊าวววววววววว❤️❤️❤️❤️❤️❤️❤️❤️❤️😘😘🥱😁😁😋🍦🙂🙂☺️☺️🤫🤫🤫☺️🤫🤫🤫🤫🤫🤫🤫🤫☺️🤫☺️☺️☺️🤫🤫☺️🤫🤫😭😭💰😭✌️✌️🥱🥱✌️🤫✌️😭🥱🌶️😁✌️✌️😁✌️😁✌️✌️😁😁✌️🤫✌️🤫✌️🤫✌️🤫✌️🤫✌️🤫✌️🤫✌️🤫✌️🤫✌️✌️🤫✌️🤫✌️🤫✌️🤫✌️🤫✌️🤫✌️🤫✌️✌️🤫✌️🤫✌️✌️🤫✌️😭✌️🖐️✌️😭✌️😭✌️✌️😭✌️😭💰💰📢💰🖐️💰📢💰😭💰📢💰📢💰📢💰📢💰📢💰📢💰📢💰💰💰📢💰📢💰📢💰📢💰📢💰📢💰📢💰💰📢💰📢📢💰💰📢💰📢💰💰📢💰💰📢💰📢💰📢💰📢✌️📢🌿✌️😭✌️✌️😭😭✌,Neutrally
ทัศไนย เ.,"ได้รับสินค้าถูกต้องตามที่ต้องการ ไม่ชำรุดเสียหาย จัดส่งเร็ว เนื้อผ้ามีขนาดบางไม่หนา
ได้รับสินค้าถูกต้องตามที่ต้องการ ไม่ชำรุดเสียหาย จัดส่งเร็ว เนื้อผ้ามีขนาดบางไม่หนา",Neutrally
สุรศักดิ์ ห.,สินค้าส่งเร็วมากสั่งเมื่อวานสันนี้มาถึงแล้ว ส่วนคุณภาพเหมาะสมกับราคา ความทนทานต้องดูหลังจากการใช้งานไปในระยะหนึ่ง ภาพรวมพอใจครับ,Neutrally
MooUan U.,ผ้าดีมาก..แต่..ตัวเล็กกว่าที่โฆษณาเพราะเปกางเกงผู้ชาย...แต่ที่ได้มาเป๋นไซส์ผู้หญิง,Neutrally
สมพร ก.,คุณภาพตามราคา สั่งมา 2 ตัว 1 ตัวเย็บฝีเข็มห่างมาก แต่เก็บตะเข็บ อีกตัวฝีเข็มพอใช้ไม่เก็บตะเข็บ กระเป๋าผ้าคนละแบบเลยฮ่า งานไม่เรียบร้อยเลยไม่รู้ใส่แล้วจะได้ถึงเดือนไหมนะ,Neutrally
C***.,ของเหมือนกับอีกร้านที่สั่ง ทั้งแบบ การตัดเย็บ แต่แอบแพงกว่า นิดหน่อย แถมส่งช้ากว่า อีกร้านด้วย..ตอนแรกนึกว่าไม่เหมือนกัน..😓😓😓😓,Neutrally
Gigzy C.,ได้รับสินค้าแล้ว​ แพ้คไส่ถุงดำมา สภาพสินค้าปกติ​ ตรงปก​ แต่ดูแล้วเล็กไปสำหรับตัวเอง​ แต่ยังไม่ได้ลอง​ เนื้อผ้าบางเบา​ น่าจะใส่สบาย,Neutrally
****7,กระเป๋ากางเกงตัดเย็บไม่ดีค่ะ,Neutrally
ทองตื่ม,สั่งสินค้าไป3 แต่ส่งมาให้แค่2,Neutrally
chaiyapan,ไม่ตรงกับที่สั่งมา2ตัวคนละแบบเนื้อผ้าไม่เหมือน ต้องปรับปรุงนะครับ ขนาดไม่เท่ากันอีก,Neutrally
