User,Message,Sentiment
เพ็ญสิริ ป.,"การเคลื่อนไหวที่เงียบสงบและราบรื่น, ตัวเลขชัดเจนและอ่านง่าย, ดีไซน์ที่ดูดีและมีสไตล์,",Positive
Yanisz P.,ส่งสินค้าไวมาก แพ็คมาดี ภายนอกไม่เสียหาย แต่ตอนแกะออกมา เข็มวินาทีหลุด แต่แก้ปัญหาด้วยการแกะกรอบแล้วใส่เข็มไป ก็ใช้ได้ปกติ เดินเรียบ ไม่ส่งเสียงรบกวน ราคาไม่แพง ของจริงสวย ไม่เล็กไม่ใหญ่ไป ราคาคุ้มค่มาก,Positive
เภาผงา ช.,ได้รับของแล้วตรงตามที่สั่งแพ็คกันกระแทกมาดรแต่ไม่มีถ่านแถมมาให้เข็มเดินแบบเรียบไม่มีเสียงรบกวน,Positive
J***.,สินค้ายอดเยี่ยมค่ะ จัดส่งมาอย่างดี ไว้จะมาอุดหนุนอีกนะคะ แม่ค้าน่ารัก ห่อมาอย่างหนาแน่น ขอบคุณค่ะ 💙💙💙💙💙💙💙💙,Positive
9***3,แพคสินค้าดีมากเห็นแล้วถูกใจทันที,Positive
ก***.,..ได้รับสินค้าเร็ว แต่เสียดายๆๆๆๆ กระจก เละ ละเอียดเลย นาฬิกาสวยอยู่เด้อ... เสียดายๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,Positive
K***.,"เอามาเปลี่ยนเครื่อง เปลี่ยนเข็ม ติดสติกเกอร์ หล่อเลยครับ

เป็นสินค้าที่มีคุณภาพยอดเยี่ยมมากและก็เป็นสินค้าที่มีความคุ้มค่าดีมากอีกด้วย นอกจากนี้แล้วก็ยังเป็นสินค้าที่มีความรวดเร็วในการจัดส่งดีมากเนื่องจากสินค้าชิ้นนี้เป็นสินค้าที่มีการให้บริการจากร้านค้าดีมาก ทั้งนี้ทั้งนั้นจึงเป็นสินค้าที่มีการให้บริการจากบริษัทขนส่งดีมากอีกเช่นกัน",Positive
ป***ี,"การเคลื่อนไหวที่เงียบสงบและราบรื่น, มีให้เลือกหลากหลายสี, เพิ่มความสวยงามให้กับบ้านใดก็ได้, ตัวเลขชัดเจนและอ่านง่าย, ใช้แบตเตอรี่สะดวก,",Positive
ร***.,"เหมาะสำหรับการออกแบบภายในทุกแบบ, การเคลื่อนไหวที่เงียบสงบและราบรื่น,",Positive
โต๋ อ.,สวยส่งไวใช้​ได้​เสียอย่างเดียวต้องไปชื้อถ่านมาก่อนถึง​ลองได้,Positive
K***.,สุดยอดๆ❤️🥺⭐🌌💤✨,Positive
Nung N.,ใส่ถ่านแล้วใช้ได้ปกติ สินค้าคุณภาพดี สมราคา จัดส่งเร็ว คุ้มค่าดี ความรวดเร็วในการจัดส่งดี การให้บริการจากร้านค้าดี การให้บริการจากบริษัทขนส่งดี,Positive
จิรฐา ว.,รูปแบบสวยงาม ดูสะอาดตาดูง่ายดีค่ะชอบมากค่ะ,Positive
ส***.,"สินค้าส่งตามกำหนดเวลา ส่วนขนาดที่ต้องการเล็กไปนิดหน่อย ใช้ไม้บรรทัดวัดแล้วสินค้ามีขนาด 10 นิ้ว แต่ในรายละเอียดการสั่งซื้อไม่บอกขนาดไว้ ใส่แบตเตอรี่แล้วนาฬิกาเดิน เสียงเงียบ
- เพิ่มเติม นาฬิกาเอามาใช้แล้ว หมุนได้ไม่ครบรอบ เข็มไม่เดิน หยุดนิ่ง น่าจะต้องแกะมาซ่อม ด้วยการดัดเข็มไม่ให้ ติดกัน",Positive
Khomkhai S.,คุณภาพดีตรงปก,Positive
น้ำฝน,นาฬิกาแขวนทรงกลม สีเขียว นาฬิกาเดินเงียบ:ทดสอบไม่มีเสียง/นิ่ง สีเขียว:สวยงามไม่ฉูดฉาด,Positive
ศรีสุข,สินค้าคุณภาพดีค่ะ แพ็คของมาให้ดีมาก ส่งของเร็ว แล้วจะอุดหนุนใหม่นะคะ ขนส่งก็ส่งของเร็วมากค่ะ,Positive
B***a,"ราคาไม่แพง การจัดส่งใช้เวลา3-4วันถึงจะได้รับของ ไม่มีถ่ายแถมมานะคะ อย่าลืมหาซื้อถ่านเตรียมไว้เองนะคะ

นาฬิกาทำงานได้ดีเป็นปกติ เงียบดีไม่มีเสียงรบกวน ขนาดใหญ่ ดูเวลาง่ายชัดเจน ใช้งานได้ตามวัตถุประสงค์​",Positive
0***7,ใช้ได้เลยครับราคาไม่ถึง 100 แจ๋ว,Positive
น้ำหวาน,ได้รับสินค้าแล้วค่ะ ทางร้านจัดส่งไวมาก แพ็คเกจมาอย่างดี ของไม่บุบไม่เสียหายเลย ขอบตรงปกคะ ราคาถูก81บาท ได้เงินคืน40บาทคุ้มมาก,Positive
n***.,ใช้ได้จริง สมราคา ใช้ได้จริง สมราคา ใช้ได้จริง สมราคา ใช้ได้จริง สมราคา ใช้ได้จริง สมราคา,Positive
****9,"จัดว่งเเพคมาดี รวดเร็ว วัสดุดี
สวยมากกกกกกกก
ตัวเลขมองเห็นชัดเจน ถูกใจพอใจ
ซื้อซ้ำเเน่นอน",Positive
