User,Message,Sentiment
ณิชชาภัทร พ.,พัดลมแรงลมเย็นดีมากค่ะ ชอบมาก ไว้จะสั่งอีกตัวค่ะ แนะนำราคาไม่แพง❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
0***1,ัพัดลมสั่งซื้อ3รอบแล้ว รอบนี้ไม่ปลื้มเลย สั่ง2ตัวสีไม่เหมือนกันกล่องก็ไม่เหมือน ใช้ได้แค่ตัวเดีบว อีกตัวใช้ไม่ได้สวิสเปิดไม่ได้,Positive
อริยาภรณ์ ห.,พัดลมชาร์จได้ เคยใช้แบบนี้มาแล้วใช้ดี ลมเย็น สะดวก ชาร์จทิ้งไว้ได้ แล้วก็ยกไปที่อื่นได้,Positive
Nan D.,ถูกใจเลย  ราคาถูกฟังก์ชั่นครบ  พับเก็บง่าย ราคาไม่แพง,Positive
Satchakorn R.,🧡จากการได้รับสินค้าแล้วและได้ตรวจสอบแล้วมีความคุ้มค่าดีมากคุณภาพของสินค้าดีมากความรวดเร็วในการจัดส่งถือว่ารวดเร็วมากๆการให้บริการก็ถือว่าดีเยี่ยมแนะนำเลยขอบคุณมากครับให้ห้าดาวแล้วนะครับ ถ้าไม่เป็นการรบกวนช่วยประเมินคะแนนผู้ซื้อกลับด้วยนะครับ ขอบคุณครับ,Positive
มิน ภ.,"ส่งสินค้าไวความเร็วพัดลมที่สามารถปรับได้, พกพาและสะดวกใช้งาน, การออกแบบไร้สายที่ดี,",Positive
น***.,"เขียนรีวิวสินค้าใหม่ให้หน่อย ในหัวข้อนี้ กระดาษทิชชูห่อยาว
เขียนรีวิวสินค้าใหม่ให้หน่อย ในหัวข้อนี้ กระดาษทิชชูห่อยาว",Positive
N***9,"การออกแบบไร้สายที่ดี, ขนาดกะทัดรัดและพับเก็บได้, ความเร็วพัดลมที่สามารถปรับได้, การทำงานที่เงียบสงบ, ใช้งานและเก็บรักษาได้ง่าย, สะดวกสำหรับการเดินทาง,",Positive
Jittranon S.,ทางร้านจัดส่งสินค้ามาให้ในกล่องแพคเกจก่อนส่มาในกล่องส่งพัสดุเรียบร้อยดีคะ ถูกต้องใช้งานได้ ไม่แรงอย่างที่คิด แต่ก็ใช้ได้,Positive
C***.,"อายุแบตเตอรี่ที่ยาวนาน, การทำงานที่เงียบสงบ, ลมพัดที่แรงและเย็นสบาย, ขนาดกะทัดรัดและพับเก็บได้, ความเร็วพัดลมที่สามารถปรับได้, พกพาและสะดวกใช้งาน,",Positive
9***8,ใช้งานได้ตามคุณพาพ เหมาะสมเกับราคา ถ้านำไปใช้งานในที่เหมาะลมก็โอเคในระดับเบอร์3ลมไม่แรงมาก ขึ้นอยู่กับการใช้งานในสภาพแวดล้มด้วย ปุุ่มปิดไม่ดี  แต่ใช้นิ้วจิ้มกดเอาไม่ใส่ปุ่มปิดได้อยู่,Positive
กนกธิดา ส.,สินค้าได้รับรวดเร็ว มีการแพคที่ดี สินค้าไม่เสียหาย ได้รับสินค้าตรงตามที่ขาย ครั้งหน้าจะสั่งอีก,Positive
Panya D.,"ขนาดกะทัดรัดและพับเก็บได้, ใช้งานและเก็บรักษาได้ง่าย, ลมพัดที่แรงและเย็นสบาย, การทำงานที่เงียบสงบ,",Positive
0***8,ได้รับสินค้าเรียบร้อยแล้วครับไม่มีอะรัยเสียหายส่งของได้อย่างรวดเร็วครับสมราคาครับชอบมากๆๆครับ,Positive
W***.,ได้รับสินค้าตรงตามที่สั่ง สินค้าราคาไม่แพงคุ้มค่า มีส่วนลดค่าขนส่ง ใช้เหรียญเป็นส่วนลดด้วย ทดสอบแล้วลมแรงดี,Positive
นฤพนธ์ แ.,รับสินค้าเรียบร้อยครับ ทางร้านจัดส่งไวมาก สินค้าตรงตามที่สั่ง สินค้ามีฝุ่นนิดหน่อยและตรงชาจ์นพชาวติกไม่เรียบร้อยนิดหน่อย แต่ถือว่าคุ้มค่าคุ้มราคาครับ ได้มา 12.12 ราคาแค่ 38 บาท ดีมากครับ,Positive
P***1,ส่งของรวดเร็วมากราคาถูกได้มา 52 บาทถือว่าโอเคตามราคาลมก็พอให้ได้ลมเย็นๆนิดๆดีกว่าไม่มีรวมๆแล้วก็โอเคสวยงาม,Positive
สิริรัฒน์ น.,สวยมากคะๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆไไไๆๆๆๆไไไๆไๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍,Positive
เทียมศักดิ์ ร.,"รูปทรงววยงามดูดี ความแข็งแรงอยู่ในระดับพอใช้
ส่วนที่ชอบมากๆคือร้านค้าจัดส่งสินค้าได้รวดเร็วขอชมครับ
ราคเบาๆแถมมีส่วนลดจากร้านค้าขอบคุณกับสิ่งดีๆที่จัดส่งมาไห้นะครับเยี่ยม",Positive
ตรีธพร ไ.,เสียงมอเตอร์ดังไปนิด วัสดุบอบบาง ใช้อย่างระวัง ชอบตรงเบา ใช้งานได้ดี สีสวย ราคาไม่แพงเลย,Positive
อภิทักษ์ ฟ.,ใช้งานดีพกพาง่ายคุ้มค่าเกินราคาแต่คุณภาพพลาสติกต้องระมัดระวังนิดหนึ่งอาจจะบอบบางแต่โดยรวมผมว่าน่าใช้ครับ,Positive
พ***.,สินค้าสวยตรงปกราคาก็ไม่แพงการจัดส่งก็รวดเร็วความแรงของลมกโอเคนะค่ะตามขนาดเครื่องถือว่าโอเคมากเพราะใช้มาหลายตัวแล้วพกพาง่ายด้วย,Positive
Poa P.,"ลมพัดที่แรงและเย็นสบาย, ความเร็วพัดลมที่สามารถปรับได้, พกพาและสะดวกใช้งาน,",Positive
9***4,ได้รับสินค้าแล้วค่ะทางร้านจัดส่งสินค้าให้รวดเร็วทันใจสินค้าได้มาในราคาถูกกว่าที่เคยซื้อ,Positive
เจนจิรา จ.,ดีมาก คุ้มราคา ชอบมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,Positive
0***8,สินค้าจัดส่งได้รวดเร็วสินค้าดีราคาถูกใช้งานได้ดีทางร้านห่อมาอย่างดี ขนส่งรวดเร็วทันใจครั้งหน้าจะสั่งอีกครับ,Positive
Somsak A.,"ดีไซน์ออกมาดี
คุณภาพก็ไม่ได้แย่มาก
การใช้งานอยู่ระหว่างการทดสอบว่าจะเปิดต่อเนื่องได้นานกี่ชั่วโมง ก่อนนำไปใช้ง่นจริง",Positive
0***4,ตัวเล็กเก็บง่ายการออกแบบดีครับสะดวกสบายดีใช้งานง่ายแต่ไม่รู้แบตจะทนเปล่าใช้งานได้ดีนะ,Positive
0***4,ใช้ดีครับหน้ารักดีแต่ลมเบาไปหน่อยแตการออกแบบดีครับเก็บง่ายพกพาไปไหนก็สะดวกแต่ไม่รู้แบตทนไหม,Positive
Nantaya L.,จัดส่งเร็วจ้า ค่าถูกสินค้าก็สมราคา นำสกสกสำใกกนกสดทึจจาก/ยิ้มกว้างให้หน่อยค่ะขอบคุณ,Positive
🎎🎋chaaim🎏🎍,ทางร้านจัดส่งไวมากเลยค่ะสั่งสินค้าไปเมื่อวานช่วง 10 โมงวันนี้ช่วง 10 โมงของมาถึงเลยค่ะวันเดียวถึงจริงๆพนักงานจัดส่งว่องไวในตัวสินค้านั้นเมื่อเปิดซองแกะกล่องออกมาไม่มีสินค้าบุกหรือเสียหายเสียบปลั๊กชาร์จแบตใช้งานได้ปกติคุ้มค่ากับราคาที่ซื้อค่ะเครื่องนี้จัดมาได้ในราคา 36 บาทเองถือว่าคุ้มเลยพอลองเปิดตัวพัดลมคือช่วยให้คลายร้อนได้ดีเลยค่ะเหมาะสมกับการเป็นพัดลมพกพา,Positive
กิตติพันธ์ ว.,ได้รับแล้วการส่งก็พอดีๆได้รับก็ทดลองเปิดติดทุกปุ่มขนาดกำลังดีมีพับเก็บปรับระดับขึ้นลงได้แต่ค่อยๆนะการปรับขึ้นลงแข็งใช้แรงเยอะอาจหักได้ ช่วงระหว่างชาตร์มีไฟแจ้งสถานะเป็นสีแดงโดยรวมดีครับ ราคาก็ใช้ได้ครับ,Positive
Tom C.,ดีเยี่ยมเย็นสมราคร ปรับได้หลายระดับ ดีมากกกกกกกกกกกๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,Positive
prapaporn M.,ได้รับสินค้าเรียบร้อย รวดเร็ว ไม่ต้องรอนาน สินค้าคุ้มค่ากับราคา ตรงปก ใครที่กำลังเล็งๆอยู่เหมือนกัน ขอแนะนำร้านนี้นะคะ ประทับใจค่ะ,Positive
สุพล ถ.,"ส่งสินค้าไวมาก ของไม่เสียหายใดๆ ข่นส่งดีมาก
ลมเบาไปหน่อย เบอร์ 3 เย็นไม่มาก",Positive
k***i,ได้รับสินค้าแล้วครับ สินค้าดีไม่ได้รับความเสียหาย มีคุณภาพมาก โทรสอบถามก่อนเข้าทำการจัดส่ง จัดส่งได้รวดเร็วมากๆ,Positive
สมจันทน์ แ.,รูปร่าง ตรงตามปก ความแรงของลมที่พัดมา ก็สมราคา เหตุเพราะ สินค้าราคา 105 บาท จะให้เย็นเหมือน สินค้า ราคา 500 ก็เป็นไปได้ยาก แต่ภาพรวมแล้ว โอเค สมราคา,Positive
ค***.,น่ารักดีไม่แพง,Positive
