User,Message,Sentiment
นงนุช ล.,"ได้รับสินค้าแล้วคะ  สินค้าดีคะ  กสรจัดส่งก้ไวมากๆๆๆ
การเกงก่สวย  ยืดได้เยอะ  คุณภาพเกินราคาคะ  ชอบ",Positive
เค้ก พ.,เหมาะสมกับราคาดี,Positive
ท***ี,"ดีมากเลยค่ะ👍👍👍
ได้รับครบตามจำนวน
ที่ออเดอร์ไป....
คุณภาพดี....
ตรงปกไม่จกตา...
ร้านค้าส่งเร็วดีรอไม่นาน...
ขนส่ง..ดี..โทรล่วงหน้าตลอด",Positive
ท***ี,"บางมากเลยค่ะ
ได้รับครบตามจำนวน
ที่ออเดอร์ไป....
คุณภาพ..เป็นผ้ายืด
ตรงปกไม่จกตา...
ร้านค้าส่งเร็วดีรอไม่นาน...
ขนส่ง..ดี..โทรล่วงหน้าตลอด",Positive
ท***ี,"มันเป็นผ้ายืดค่ะ
ได้รับครบตามจำนวน
ที่ออเดอร์ไป....
คุณภาพ..บางมาก..ดี..ที่มันลายมากมองไม่เห็น
ร้านค้าส่งเร็วดีรอไม่นาน...
ขนส่ง..ดี..โทรล่วงหน้าตลอด",Positive
b***9,"ส่งรวดเร็ว........ 
สินค้าดี.......... 
......................... 
........................ 
......................... 
ส่งไวมาก",Positive
สุมณฑา ส.,"เหมาะสำหรับทุกฤดูกาล, ผ้าเบาสบายในการเคลื่อนไหว, เอวที่พอดีสำหรับการใส่ที่สบาย, มีให้เลือกสีหลากหลาย, ผ้าที่ยอดเยี่ยมสำหรับความสบายอันสมบูรณ์, วัสดุหนังไก่คุณภาพสูง, ขายาวที่เพิ่มความทันสมัย, การบริการจากร้านค้าดีมาก การบริการจากบริษัทขนส่งดีมาก ขอบคุณค่ะ",Positive
สุมณฑา ส.,"ดีไซน์สบายและสไตล์หรู, เหมาะสำหรับทุกฤดูกาล, จัดส่งรวดเร็วจากประเทศไทย, ผ้าเบาสบายในการเคลื่อนไหว, ผ้าที่ยอดเยี่ยมสำหรับความสบายอันสมบูรณ์, ขายาวที่เพิ่มความทันสมัย, เอวที่พอดีสำหรับการใส่ที่สบาย, วัสดุหนังไก่คุณภาพสูง, การบริการจากร้านค้าดีมาก การบริการจากบริษัทขนส่งดีมาก ขอบคุณค่ะ",Positive
J***.,บริการส่งสินค้ารวดเร็ว เนื้อผ้าบาง เบา เหมาะใส่เล่น ใส่อยู่บ้าน ใส่นอน คุณภาพตามราคาไม่ซีเรียส,Positive
ธ***.,ถ้าใส่ลื่นใส่สบายคุ้มค่าคุ้มราคาราคาถูกแต่บางไปนิดหน่อยก็คุ้มแล้วสำหรับราคาขนส่งช้าไปนิดนึงสำหรับภาคใต้ลงภาคใต้,Positive
0***4,"ได้รับสินค้าแล้วค่ะขอบคุณมากค่ะ ส่งสินค้าไวมากๆๆๆๆๆๆๆๆๆๆ
สินค้าตรงตามที่เราสั่งซื้อค่ะ สินค้าใช้ดีมากค่ะ ใส่เบาสบาย",Positive
ปัญญพล จ.,"ทรงสวยดี  ใส่นอนได้  บางเบามากเอวที่พอดีสำหรับการใส่ที่สบาย, ผ้าเบาสบายในการเคลื่อนไหว, ผ้าเบาสบายในการเคลื่อนไหว, ผ้าเบาสบายในการเคลื่อนไหว, ผ้าเบาสบายในการเคลื่อนไหว,",Positive
K***.,ราคาถูกมากตัวละไม่ถึง 100 ใช้โค๊ดลดได้ส่วนลดเพิ่มอีกโดยรวมใส่สบายนะเหมาะกับใส่อยู่บ้านแต่ต้องใส่กางเกงในเพราะว่าถ้าไม่ใส่กางเกงในจู๋จะฟัดนิดนึงจัดส่งเร็วมาทันเวลามาทันใช้งานเหมาะสำหรับสายชิวลิ่ง,Positive
littlemonster,"เอวที่พอดีสำหรับการใส่ที่สบาย, ขายาวที่เพิ่มความทันสมัย, ขายาวที่เพิ่มความทันสมัย, ผ้าเบาสบายในการเคลื่อนไหว, วัสดุหนังไก่คุณภาพสูง,",Positive
ศ***ร,กางเกงลายช้างไซส์ค่อนข้างเล็กผ้าไม่หนามากนะคะร้านค้าจัดส่งรวดเร็วดีค่ะครบตามจำนวนที่สั่ง,Positive
ศ***ร,กางเกงลายช้างไซส์ค่อนข้างเล็กผ้าไม่หนามากนะคะร้านค้าจัดส่งรวดเร็วดีค่ะครบตามจำนวนที่สั่ง,Positive
8***1,"วัสดุ：ดีสมกับราคา ผ้าบางเบา
ขนาด：เหมาะสม
การออกแบบ：ลายสวยงาม ดูเก๋ไก๋ดี เป็นแบบไทยภาคเหนือ ส่วนตัวคือชอบค่ะ",Positive
8***1,"วัสดุ：ดีสมกับราคา ผ้าบางเบา
ขนาด：เหมาะสม
การออกแบบ：ลายสวยงาม ดูเก๋ไก๋ดี เป็นแบบไทยภาคเหนือ ส่วนตัวคือชอบค่ะ",Positive
