User,Message,Sentiment
T***g,ตอนแรกลังเลไม่มีใครคอมเม้นเลย ลองสั่งดูสั่งมา 3 ขวดเพราะว่ารองเท้าที่บ้านมีเยอะ ทุกคู่มอมแมมเปื้อนหมดเผื่อว่าไม่พอ ที่ไหนได้ใช้ขวดเดียวยังเหลือๆ การจัดส่งของร้านค้ารวดเร็วครั้งหน้าได้อุดหนุนใหม่อีกแน่นอนขอบคุณสำหรับสินค้าดีๆ,Positive
0***4,ได้รับสินค้าครบตามจำนวนที่สั่ง ร้านค้าและบริษัทขนส่งจัดส่งสินค้ารวดเร็วมาก สินค้าเป็นแบบสกรีนติดขวดไม่ได้ใช้กระดาษติดเป็นสติ๊กเกอร์ น้ำยาใช้ทำความสะอาดรองเท้าได้ทั้งคู่ คุณภาพดี,Positive
ป***.,"วัสดุ:  ขวดพลาสติก
สินค้าตรงปกค่ะ  ลองใช้แล้ว ก็สะอาดดีค่ะ แต่ต้องออกแรงขัดนะคะ
จัดส่งรวดเร็วดีค่ะแพ็คของเรียบร้อยโดยรวมถือว่าโอเคค่ะราคาใช้ได้",Positive
สิริเชษฐ์ ส.,ได้รับสินค้าค่อนข้างรวดเร็ว และราคาไม่แพงมากเทียบกับเนื้อผ้า ไว้ลองใช้งานดูก่อนนะครับ ถ้าทนทานจะมาอุดหนุนใหม่,Positive
0***5,"รักษาความสดใสและสะอาดของรองเท้า, ทำความสะอาดรองเท้าได้อย่างมีประสิทธิภาพ!, ใช้ง่ายและสะดวก, ไม่ต้องกังวลเรื่องรองเท้าสกปรกอีกต่อไป!,",Positive
รัชนี แ.,"การทำความสะอาดอย่างอ่อนโยนแต่มีประสิทธิภาพ, รักษาความสดใสและสะอาดของรองเท้า, ไม่ต้องล้างรองเท้า,",Positive
ด***ี,"สูตรที่แห้งเร็ว, การทำความสะอาดอย่างอ่อนโยนแต่มีประสิทธิภาพ, ทำความสะอาดรองเท้าได้อย่างมีประสิทธิภาพ!, ใช้ง่ายและสะดวก, ไม่ต้องล้างรองเท้า, กำจัดแบคทีเรียและกลิ่นไม่พึงประสงค์, ไม่ต้องกังวลเรื่องรองเท้าสกปรกอีกต่อไป!,ความสดชื่นที่อยู่ได้นาน, ไม่ต้องล้างรองเท้า, ไม่ต้องล้างรองเท้า, ทำความสะอาดรองเท้าได้อย่างมีประสิทธิภาพ!, กำจัดแบคทีเรียและกลิ่นไม่พึงประสงค์, รักษาความสดใสและสะอาดของรองเท้า,",Positive
ปลามะลิ,ไม่ซีเรียสเรื่องแพ็ค เพราะของเป็นขวด ได้มาในสภาพดี ยังไม่ลองใช้ ส่งของไม่นานเกินไป 7วันได้ของ เรื่องขนส่งอยู่ที่สาขาไม่พูดถึง บางที่เีบางที่ไม่ดี โชคดี ที่ผมมันบริการเยี่ยม ขอบคุณครั้าบ,Positive
ประยุทธ ต.,ส่งสินค้าไวเว่อร์ ตรงปก ราคาไม่แพง คุ้มค่า คุณภาพดีโอเค พนักงานขนส่งบริการดี ถ้าใช้ดีไว้จะอุดหนุนอีกนะครับ,Positive
*******753,"ได้รับสินค้าๆ เดียวลองใช้ดูก่อน  ดารบรรจุหีบห่อเรียบร้อยมากๆๆๆ
การขยส่งรวดเร็งดีมากๆๆๆๆๆๆ",Positive
