User,Message,Sentiment
สาวเหนือ พ.,ดี👍👍👍👍🤣🤣👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Positive
Khemmini ต.,ได้รับของแล้วค่ะ จัดส่งไว พัสดุแพคมาดี 👍👍👍👍 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Positive
ณัฐวดี ฯ.,ดีค่ะ ส่งเร็วรอไม่นานได้มาตอน11.11แพ็คมาดีค่ะ ถูกใจค่ะ เสียงดีค่ะ💞💞💞💞💞💞💞💞🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻💖💖💖💖,Positive
มานะ ก.,สินค้าถึงเรียบร้อยแล้วครับ เสียงดีครับ ชอบ,Positive
S***.,ทางร้านส่งของเร็วมากกกกกค่ะะ หูฟังดูดีเสียงชัดมากค่ะแนะนำร้านนี้เลยค่าาาาาาาาาาาาา,Positive
รวย โ.,ได้รับสินค้าแล้วจัดส่งรวดเร็วสินค้าดีค่ะแนะนำนะคะสินค้าราคาถูกฝั่งหูฟังชัดเจนดีค่ะ,Positive
นางสาวพุทธชาติ ฝ.,ใช้ดีมาก เสียงดัง ฟังชุด ราคาถูก จัดส่งเร็ว สั่งเมื่อวานวันที่05/11/66 ได้รับสินค้าวันนี้,Positive
ร***.,"ได้รับสินค้าค้าแล้ว การจัดส่งไวมาก สินค้าพอใช้ได้ ตามราคา
แพ็คมาดี ไม่ได้รับความเสียหาย ใช้พูดคุยเสียงชัดเจน",Positive
กัญญา ด.,ยังไม่ได้ลองใช้แต่ส่งไวมากและราคาถูกด้วยด้วยถูกด้วยถูกด้วยถูกด้วยค่ะ 2เดี๋ยวแกะให้ดูนะคะ,Positive
วรรณวนัช บ.,ไม่ใช่ของแท้อย่างที่เขียนไว้คะ เสียงพอฟังได้แต่ไม่ดีเท่าไหร่ ของจีนคะ ไม่ค่อยโอเค เลย,Positive
C***.,"สภาพสินค้าดี แพ็คดี คุณภาพของสินค้าดี เสียงชัดเจน 
แต่เสียดายจัดส่งออกช้า นอกนั้นดีหมด",Positive
ค***.,"ร้านค้าจัดส่งสินค้ารวดเร็ว รอ 1 วัน ได้รับสินค้า
ทดลองใช้แล้ว เสียงและไมค์ใช้งานได้ คุณภาพตามราคา",Positive
ก***.,ได้รับหูฟังครบตามที่สั่งไป ขอชื่นชมทางร้านและพนักงานขนส่งก่อนเลย แพคพัสดุดีมากๆ ใส่กล่องอย่างดี สินค้าไม่เสียหาย ขอบคุณมากครับ ไว้อุดหนุนในครั้งต่อไป 👍👍👍👍👍,Positive
*******265,ได้รับสินค้าเรียบร้อยแล้วค่ะ สินค้าจัดส่งเร็วดีค่ะ ไม่ได้รับความเสียหายลองฟังดูแล้วใช้ได้ค่ะ คุณภาพก็ตามราคาค่ะ ใช้ได้เลยค่ะ,Positive
Ramida C.,ส่งของเร็วมากแพ็คมาอย่างดียังไม่ได้ลองใช้,Positive
T***�,รับสินค้าแล้วครับสินค้าถูกตรงกับรายการที่สังซื้อไปใช้งานได้ดีครับ,Positive
ท***.,"จัดส่งเร็วนะคะ แต่..... ส่งมาไม่ครบค่ะ
สั่งไป 2  ส่งมาชิ้นเดียวอ่าค่ะ
*** กลับมาแจ้วเพิ่มเติมนะคะ  แอดมินดูแลดีมาก ส่งของตามมาให้ได้รับไวมากค่ะ  แนะนำร้านนี้ค่ะ  👍👍👍",Positive
A***❤,คุณภาพดี แพคของดีค่ะ จัดส่งของไว เสียงฟังชัด แต่สายหูฟังบางไปหน่อยค่ะ โดยรวมก็ใช้ได้ค่ะ,Positive
S***.,"เสียงดีประมาณหนึ่ง ราคาถูก ชอบ........
.





...................................................",Positive
เจษฎาพร จ.,รูปลักษณ์เหมือนที่เคยซื้อนะเสียงใช้ได้ ขนาดสายก็ไม่ดีเท่าของที่ได้มากับเครื่องเก่าๆหรอกนะใช้โทร.วางสายเลื่อนแทร็คได้ปกติครับที่สำคัญถูกดีส่งไวมากๆๆๆๆขอบอก,Positive
พิมพ์ผกา บ.,"สินค้าดีสมราคา​การบริการของร้านค้าดีส่งของไวมาก
บริษัท​ขนส่ง​ส่งสินค้า​ไว​มากสินค้าสวยมาก",Positive
Diamond,สินค้าดังข้างเดียวแชทคุยกับทางร้านแล้ว คงจะได้รับการเปลี่ยนสินค้ามาให้ใหม่ครับ รอดูผลว่าจะได้รับวันไหน,Positive
Varesile W.,ได้รับของแล้วค่ะ กล่องก็ตามรูป ด้านในเหมือนโดนแกะก่อนหน้านี้แล้วเพราะมีรอยด้านล่าง ไม่มีกันกระแทกแต่สินค้าไม่ได้รับความเสียงหาย เสียงดี+ไมค์แล้วดังทุกอัน ขนส่งไวดีค่ะ ไม่ดองของ ราคาดี ฟังทดสอบเสียงแบบลองใส่หูฟังได้ ไม่ได้เอาไมค์จ่อปาก พูดเสียงไม่ดังมาก,Positive
Yameelah,การจัดส่งดีมาก คุณภาพขอลิงใช้ก่อนนะคะ,Positive
*******731,แพคเกจจิ้งดี จัดส่งไว ไม่มีการบุบสลายของสินค้า ยังไม่ได้ลองใช้แต่คิดว่าน่าจะดี แพคเกจจิ้งดี จัดส่งไว ไม่มีการบุบสลายของสินค้า ยังไม่ได้ลองใช้แต่คิดว่าน่าจะดี แพคเกจจิ้งดี จัดส่งไว ไม่มีการบุบสลายของสินค้า ยังไม่ได้ลองใช้แต่คิดว่าน่าจะดี,Positive
0***1,ของมาเร็วมากๆเลยคะทดลองใช้แล้วหนึ่งอันเสียงชัดเจนมากตามแบบตามราคาถือว่าโอเคเลยใช้ดีแนะนำส่งเร็วมากๆ,Positive
สุธาทิพย์ ต.,"หูฟังโอเค ราคาถูกไม่แพงจัดส่งรวดเร็วมากๆ  วันเดียวถึงเลย
แนะนำร้านนี้ไม่ผิดหวัง",Positive
****4,สิ้นค้าดีน่ะสว่ยฟังชัด ส่งเร็วมาก,Positive
0***0,ดีค่ะ จัดส่งไว ใช้ได้ปกติ,Positive
ไวยากรณ์ ห.,คจะเจตตตตตะแตแจจล-าาะกำีกัันนสสพนนกสสกสกกด้้สด้สกนกสกกสันันกัันกันกันกกกกกกกกกาาาสดด,Positive
mmmaaa,ส่งเร็วไม่มีห่อบับเบิ้ลมาให้ของไม่เสียหายในระหว่างการส่งแต่ไม่ติด1ข้างเลยแจ้งทางร้านไปทางร้านได้ส่งอันใหม่มาให้,Positive
ธ***.,ได้รับสินค้าเร็วดี ส่งมาไม่ใส่กันกระแทกแต่กล่องไม่มีบุบเลย ทดลองใช้ได้ดีเสียงเพราะ ราคาพอกับร้านอื่นเพราะไม่ได้จัดโปรแต่สั่งพร้อมสายชาร์จที่ราคาถูก,Positive
