User,Message,Sentiment
Wiwat S.,ชอบเลย กระทะใบใหญ่เหล็กหนา เส้นผ่าศูนย์กลาง32เซ็นติเมตร ตราเพชร ราคาไม่รวมค่าส่งไม่ถึง100 หาที่ไหนได้นอกจาก ที่ลาซาด้า แนะนำครับไม่ต้องคิดมากใช้3เดือนเทฟล่อนลอกก็ยังคุ้ม555,Positive
กานต์ธีรา ร.,ขนส่งเร็ว สภาพดี จะลองใช้ก่อน,Positive
0***3,ใบใหญ่ มากกก ถูกใจแต่ยังไม่ได้ลองใช้ แต่ทางร้านแพ็คใส่ถุง ไม่ได้ใส่ลัง สิ้นค้าโอเคดี ไม่มีชำรุด,Positive
ส***์,ไเรับสินค้าเรียบร้อยดี ส่งไวดีเยี่ยม ชอบ ถูกใจดีคะ,Positive
0***8,ใบใหญ่ใช้งานได้จริงงงงงงงงงงงงงงงงงงงงงงง,Positive
นวลจันทร์ ส.,ใช้ดีคะคุ้มค่ามากคะ  ทอดหมูไม่ต้องใส่น้ำมันเลยคะ น้ำมันออกมาจากหมูเอง จากกะทะธรรมดาต้องใช้น้ำมันล่อน้ำมันหมู,Positive
9***9,ราคาถูกใช้งานได้ดีคุณภาพเหมาะสมกับราคาส่งเร็วมากค่ะใบใหญ่จุใจชอบมากกกกกกกกกกกกกก,Positive
หนุง ห.,เคยซื้อแล้วว1รอบกลับมาซื้อใหม่อีกครั้งคุณภาพดีถูกใจคุ้มราคาค่ะ,Positive
บุ๋ม,สินค้ามีรอยบุบนิดหน่อยที่ก้น ถุงที่แพ็คมามีรอยฉีกขาด น่าจะเกิดจากการขนส่ง แพ็กมาแบบถุงบางๆ โดยรวมใช้งานได้ปกติค่ะ,Positive
กัญญา,ผู้ขายบริการไม่ดี,Positive
กิ่งแก้ว,ใบใหญ่มาก เบาใช้ดีอยู่นะและร้อนเร็วด้วย ใช้หลายครั้งล่ะ ไม่ติดกะทะเลยประหยัดไฟดี ไม่ต้องเปิดไฟแรง ดีมากๆจ้า,Positive
พัชริดา อ.,การจัดส่งเร็วมาก การแพ็คสินค้าใส่ถุงค่ะมีกันกระแทกบางมาก มีรอยบุบเล็กน้อย สินค้าเหมาะสมกับราคา,Positive
8***2,สวยมากกกกกกกกตรงปกจ้าาาาาาาาาดีสุดสวยงามมากเลยค่ะเริ่ดสุดเบอร์มากส่งเร็วมากค่ะชอบ,Positive
สุรชาติ ล.,สินค้าตรงปกครับรูปลักษณ์ภายนอกคงทนแข็งแรงคงจะใช้งานได้ดีครับ👍,Positive
ฟ***.,สินค้ารอไม่นานค่ะส่งเร็วดีแพ็คของดีโดยรวมถือว่าโอเคสินค้าตรงปกแนะนำร้านนี้เลยค่ะไว้จะอุดหนุนอีกนะค่ะ,Positive
ธ***.,สินค้าดีราคาไม่แพง มีโปรโมชั่นคุณภาพยอดเยี่ยมมาก จะกลับมาซื้อสินค้าอีกครั้งแน่นอน เยี่ยมมากครับ สำหรับร้านนี้,Positive
NIDNOI,คุณภาพของสินค้าดีมาก  ราคาถูก  เหมาะสมกับคุณภาพของสินค้า  ความคุ้มค่าดีมาก  ราคาถูกกว่าร้านอื่น  ความรวดเร็วในการจัดส่งของร้านค้าดี  การให้บริการจากบ.ขนส่งดี  แนะนำร้านนี้เลยค่าาาาา...,Positive
