User,Message,Sentiment
Suchada P.,ได้รับสินค้าแล้วค่ะแพ็คของมาค่อนข้างดีไม่มีเสียหายขนส่งค่อนข้างดีลองใช้งานดูแล้วโอเคดีค่ะ,Positive
Narathip T.,มาเร็วดีครับใช้งานได้ครับ,Positive
ส***.,"ฟังก์ชั่น:  น้ำหนักเบาพกสะดวก มีทุกสายชาจน์
 คุณภาพ:  ดีกว่าราคาแน่นอน
 วัสดุ:  ดีทมากสำหรับราคา136 บาท",Positive
*******248,สินค้าจัดส่งไวมาก ได้มาราคาไม่แพงเลย ลองใช้ดูจะดีจะทนมั้ย,Positive
aun886,เยี่ยมครับ สินค้าตรงปก น้องไรเดอร์ก็ไจเย็น พูดสุภาพ ลองไช้ถ้าดีเดี๋ยวแนะนำไห้ครับ,Positive
พัชรี ไ.,สีสวย ร้านส่งไว กล่องเยินนิดหน่อย แต่ของอยู่ครบ ราคาถูก ขนส่งส่งเรียบร้อย ไม่เสียหาย คุณภาพยังไม่ลองใช้  แต่คิดว่าน่าจะดี,Positive
เจน,"สายในตัวที่สะดวกใช้งาน, มีหลากหลายสีให้เลือก, ขอลองใช้ก่อนนะคะทางร้านชาร์ดแบตมาให้ด้วยคงตรวจสอบเช็คก่อนส่งออกค่ะสินค้าน่ารักดี",Positive
tong_pakorn,"สะดวกสำหรับการเดินทาง, ดีไซน์ที่กระทัดรัดและพกพาได้ง่าย, สายในตัวที่สะดวกใช้งาน, สามารถชาร์จได้เร็ว,",Positive
T***.,"แบตสำรอง พกพาง่าย คุณภาพตามราคา
ชาร์ตได้1ครั้ง

แบตสำรอง พกพาง่าย คุณภาพตามราคา
ชาร์ตได้1ครั้ง",Positive
N***.,"ฟังก์ชั่น:ดี
 คุณภาพ:ดี
 วัสดุ:ดี",Positive
Mybaby N.,"สมราคา เพราะยังไงก็ไม่น่าจะถึง3หมื่นแอมป์ ชาร์จไอโฟน79%รอบเดียวน้องแบตหมด ตายอ้องแล้วค่ะ 
ชาร์จได้รอบเดียว ย้ำว่าชาร์ตได้รอบเดียวเต้าอั้น!!‼️",Positive
โอ๋จร้า,คุณภาพสินค้าที่ได้มาดีและถูกต้องนะครับ ความคุ้มค่าดี ราคาไม่แพงการส่งของก็ดีมาก เป็นสินค้าที่ถูกใจมากเลย ของก็ตรงปก รวดเร็วทันใจ เป็นสินค้าที่จะแนะนำต่อ,Positive
May,"สีสวย ไม่หนักมีหลากหลายสีให้เลือก, มีสติ๊กเกอร์และถุงใสกำมะหยี่",Positive
ก***.,"ฟังก์ชั่น: ดี มีไฟฉายมีสายชาร์จหลายอัน
 คุณภาพ: โอเค
 วัสดุ: 
ก็พอใช้ได้คะ สมราคาอะนะ  ถือว่าดีๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆคะ",Positive
*******480,ดีมากครับ!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Positive
