User,Message,Sentiment
*******842,ใส่ได้พอดีเป๊ะ ยางไม่นุ่มมาก ออกแนวลื่นๆ ใส่แล้วถ้าคับหรือพอดี จะเจ็บเท้าต้องสั่งหลวมๆนิดนึง สมมติใส่ 40 ก็สั่ง 41อะไรประมาณนั้น ถึงจะใส่สบายเท้า,Positive
punim,"การออกแบบ:ดี
 ขนาด:พอดี
 วัสดุ:เป็นโฟม
ยัดส่งรวดเร็ว สีสรรดีชอบ 
ราคาไม่แพง ไม่ใช่หนัง หรือผ้า เป็นโฟม ที่จับหรือใช้เล็บจิกลงไป ก็จะเป็นรอย",Positive
Pock S.,ดีสวยงาม ไซร์ใหญ่กว่าเท้า1ไซร์ สั่งลดลงงมา1ไซร์,Positive
*******291,"คุ้มค่ากับราคาที่ดี, ไม่ลื่นและกันน้ำได้, ง่ายต่อการทำความสะอาดและดูแลรักษา,",Positive
ภูษิต ส.,"สบายและดูดี, ง่ายต่อการทำความสะอาดและดูแลรักษา,",Positive
M***y,สินค้าตรงปก รองเท้านุ่น หนาดี น้ำหนักเบา ใส่สบาย,Positive
*******287,ส่งเร็ว ชอบค่ะ,Positive
****9,สินค้ทตรงปกๆๆๆๆๆๆๆๆๆ ราคาไม่แพง ๆๆๆๆๆๆๆๆแต่ตัวรองเท้าไม่นุ่ม แข็งมากๆๆๆ แต่ก็ตามราคาเนอะ ก็พอใช้ได้,Positive
นายนฤดล ศ.,"สินค้าได้รับเป็นที่เรียบร้อยอย่างสมบูรณ์ ราคาถูก
ลักษณะ/ขนาด พอดีแปะ รูปทรงเรียบ ง่าย ๆสวยๆ เหมาะสวมใส่ไปไหนมาไหนได้สะดวก ราคาถูก ไม่มีตำหนิ
สวมใส่เเล้วนุ่มสบายเท้า บางเบา เเต่มีความหนาในตัว
คุณค่าแก่การเป็นเจ้าของอย่างมาก รองเท้าที่คุณคู่ควร 
ร้านค้าใส่ใจจัดสรรห่อเเพ็คสินค้ามาเป็นอย่างดี ประทับใจอย่างมาก 
สินค้ามาถึงก่อนกำหนดเสียอีก
ขนส่งจัดส่งถึงที่หมายอย่างปลอดภัย
สินค้าชิ้นต่อไป มีอีกแน่นอนคับ",Positive
Kamonrat C.,"วัสดุ:ดีมาก ดีมาก ดีมาก
 ขนาด:คุมค่าค่้มค่าคุ้มค่า

 การออกแบบ:ออกแบบได้สวยงามคุณภาพดีมาก
ต้องใช้ไปก่อนเดี๋ยวจะกลับมารีวิวใหม่",Positive
ส***.,"ร้านส่งเร็วมากชอบมากค่ะสั่งอีกแน่นอนซื้อตอนลดไม่เสียสักบาทเลยขอบคุณนะค่าาา เลิฟฟฟฟมีไซส์หลากหลายให้เลือก, ง่ายต่อการทำความสะอาดและดูแลรักษา, เหมาะสำหรับสวมใส่ในชีวิตประจำวัน,",Positive
Thanaporn M.,"วัสดุ:  เป็นยาง
 ขนาด:  ใหญ่กว่าเท้านิดหน่อย
จัดส่งสินค้ารวดเร็ว  คุ้มค่าคุ้มราคา ถ้าพื้นหนากว่านี้จะดีมาก",Positive
ไ***.,"สวย ตรงปกใส่พอดี,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰",Positive
****0,วัสดุ:สินค้าถูกดีนะคะ ได้โค้ดส่วนลดด้วย ประหยัด คุ้มค่า ร้านก็ส่งไวดี ขนส่งก็ดี โอ้ย ดีไปหมด แนะนำเลยค่ะ ขอบคุณสำหรับสิ่งดีๆที่มอบให้นะคะ ไม่คิดว่าของราคาถูกและดีจะยังหลงเหลืออยู่บนโลกไปนี้ ถูกจริง ส่งจริง,Positive
อำนาจ ส.,สวยครับชอบมากสั่งมา 3 คู่สวยดูดีมีราคาขนาดพอดีไซส์สั่งมาตรงทุกไซส์แนะนำร้านนี้เลยครับ,Positive
