User,Message,Sentiment
S***.,การจัดดดดดดดดดดดดดดดส่งงงงงงงงงงงงงงงงงงงงงค่อนข้างรวดเร็วววววววววววววววววววว แพ็คคคคคคคคคคคคคคมาอย่างดีดีดีดีดีดีดีดีดีดีดีดีดีดีดี,Positive
Ps.P.,"ได้ มาในราคา ตัวละ 33 บาท
ตอนแรกไม่ได้หวัง ว่า จะดี หรือ ผ้านุ่ม
แต่พอได้ คือ คุ้มค่ากับราคามากๆ รู้สึกปลื้มมาก 
ที่ได้ของ เกินราคา 🥰 ตรงปกด้วย ใส่สบาย",Positive
A***m,ผ้าเนื้อดี นิ่ม เด้งๆ คงใส่สบายๆ,Positive
พิฐชญาณ์​,สินค้าจัดส่งไม่นานมากก็เหมาะสมกับราคาดีค่ะแต่ผ้าแอบบางนิดนุงน้าาแต่ก็ไม่ซีเรียสค่ะเพราะรู้อยู่แล้วยังไงก็คุ้มค่ามากค่ะ,Positive
****1,เสื้อสวยมากเลยค่ะ ไว้มาอุดหนุนใหม่นะคะ,Positive
P***.,รอของไม่นานมาก คุณภาพสมราคา คือ เราได้มาตอนลดราคา 50+฿ เนื้อผ้านิ่ม ดูใส่สบาย แต่ไม่ควรใส่ออกไปข้างนอก เป็นชุดนอนที่ดี แต่ผ้าบาง ผญ ห้ามโนบรา😂 ลายพิมพ์มาชัดดี แต่ยังไม่ได้ลองซักว่าจะหลุดไหม แต่โดยรวมโอเคค่ะ 👍🏻👏🏻,Positive
J***.,ได้รับสินค้าแล้วคะ สินค้าจัดส่งรวดเร็วมากๆๆเลย เนื้อผ้าใส่สบายเหมาะสมกับราคา สินค้าจัดส่งรวดเร็วมากๆๆเลย เนื้อผ้าใส่สบายเหมาะสมกับราคา,Positive
P***.,นผ้าบางใส่สะบายมากราคาน่ารักสะบายกระเป๋าลายก้น่ารักมากใส่พอดีเลยค่ะชอยมากไว้จะมาซท้อซ้ำนะคะ,Positive
กันตภัทร,สั่ง 2-3 วันได้รับสินค้าแล้ว ห่อของมาดีไม่สียหายอะไร เนื้อผ้านุ่มใส่แล้วไม่ร้อน แต่ผ้บางไปหน่อย รูปสกรีนติดผ้าซักไม่รุ้จะอยุ่นานไหม ซักบ่อยๆคงยุ่ยแน่โดยรวมดีราคาไมาแพง,Positive
Filmshop,ได้รับสินค้าแล้วตรงปกค่ะ จัดส่งรวดเร็วค่ะ คุ้มค่า ราคาถูก ชอบมากจะสั่งเพิ่มอีกแน่นอน 😍😍,Positive
