User,Message,Sentiment
Neh D.,คุณภาพของเนื้อผ้าดีมาก รูปแบบสวยงาม การตัดเย็บจริง ค่าจัดส่งรวดเร็ว ราคาถูกมาก สีเขียวเข้ม,Positive
ฐานะอะไร อ.,ผ้าดีมากกกกกกกกกกสวยด้วย,Positive
0***0,คนขายไม่อายแต่คนใส่อายนะแขนเสื้อคนละสีทำได้งัยน่าเกลียดมาก,Positive
🌺Russamee B.,ชุดน่ารักใส่สบาย. เนื้อผ้าดีค่ะ   สั่งเพิ่มอีกแน่นอนค่ะ🧡🧡🧡🧡🧡,Positive
ร้ายมา ร.,วัสดุล：ดีมากค่ะเนื้อผ้านิ่มใส่สบายเลยค่ะสีสดสวยมาก ไว้จะสั่งอีกค่ะ,Positive
Areerak C.,สินค้าส่งเร็วเนื้อผ้าดีใส่สบายมากร้านค้าบริการดีใส่แล้วพอดีมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,Positive
แตงโม,"รู้ไหมฉันโคตรอิจฉาที่เธอรักเขา
รู้ไหมฉันโคตรอิจฉาที่เธอมีแต่เขา
ฉันมันก็แค่ทำให้เธอคลายเหงา
ทั้งที่รักเธอไม่แพ้เขา
มันอิจฉาที่เขาได้ใจเธอไปครอบครอง",Positive
Suratchada,ผ้าที่กว่าที่คิดไว้ กางเกงสามารถใส่ออกกำลังกาย​ได้เลน,Positive
นุ่ม ก.,วัสดุ:สินค้าดีตรงปกค่ะแต่ถ้าใครตัวใหญ่สั่งเผื่อไซส์ไว้ด้วยนะคะ,Positive
N***.,"ขนาด:ตรงตามขนาดที่สั่ง
 วัสดุ:เนื้อผ้าดี  สั่งรอบที่2แล้ว
 การออกแบบ:ดี",Positive
พรพิพัฒน์ ศ.,"เสื้อสวยเนื้อผ้าดี ราคาไม่แพง
เหมาะสมกับราคาที่จ่ายไปค่ะ............................",Positive
9***9,ดีมากคุ้มมากกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก,Positive
Lapas D.,"ชุดสองชิ้นที่สามารถใส่ได้หลากหลายสไตล์, ผ้าที่สบายและระบายอากาศได้ดี, เนื้อผ้านุ่มใส่สบายมากค่ะ",Positive
✌***️,ได้รับสินค้าแล้วค่ะผ้าดีมากไปผ้านุ่มทรงสวยใส่สบาย ร้านค้าบริการดีจัดส่งสินค้ารวดเร็ว พนักงานขนส่งพูดจาดีมาก,Positive
อ***.,"วัสดุ:ดีมาก ผ้าหนา
 ขนาด:พอดี
 การออกแบบ:สวยงาม
สวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมากสวย ชอบมาก",Positive
*******932,เมือฟ้าดีกว่าทีคิด,Positive
payao S.,"สีน้ำตาลสวยงาม,  ผ้านิ่มดีค่ะ",Positive
0***1,ส่งเร็วตรงปก,Positive
A***.,"วัสดุ:  สวย ส่งไว ใส่พอดี รวมๆแล้วโอเคสินค้าคุณภาพคุ้มค่าราคา
ส่งของไว สวยยยยยยยยยยยยยยยยยยยยย",Positive
Monprai R.,ขนาด:ชอบมากคะสวยสมราคาตรงปกคะแต่คนส่งแย่คะไม่โทรบอกสักคำเป้นเพราะโอนเงินไปก่อนมั้้ง,Positive
เ***.,"มีไซส์หลากหลายให้เลือก, สีน้ำตาลสวยงาม, ผ้าที่สบายและระบายอากาศได้ดี, คุณภาพดีและคุ้มค่า,สีเทาทันสมัย, การออกแบบที่ไม่ซ้ำกันและทันสมัย,",Positive
NOOK☀️💙🐇,"คุณภาพดีและคุ้มค่า, พร้อมส่ง, จัดส่งเร็ว, พร้อมส่ง, จัดส่งเร็ว, คุณภาพดีและคุ้มค่า, มีไซส์หลากหลายให้เลือก, มีไซส์หลากหลายให้เลือก, คุณภาพดีและคุ้มค่า,",Positive
Malaiwan Y.,"ผ้าที่สบายและระบายอากาศได้ดี, ผ้าที่สบายและระบายอากาศได้ดี, ผ้าที่สบายและระบายอากาศได้ดี, ผ้าที่สบายและระบายอากาศได้ดี,",Positive
0***2,"การออกแบบ:
ได้รับสินค้าเรียบร้อยแล้วค่ะ เนื้อผ้านิ่มดีค่ะไม่บางมาก สั่งมาสองชุดสองสีเรยค่ะ พนักงานโทรก่อนมาส่ง",Positive
0***2,"การออกแบบ:
ได้รับสินค้าเรียบร้อยแล้วค่ะ จัดส่งรวดเร็วดีค่ะ เนื้อผ้าดีค่ะสีสวย พนักงานขนส่งโทรก่อนมาส่ง",Positive
??? ?.,น่ารักมากค่ะ👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Positive
??? ?.,สวยค่ะ👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Positive
*******446,"วัสดุ:  ผ้านุ่ม
 ขนาด:  พอดีน้ำนัก44
 การออกแบบ:  สววย",Positive
จิราพรรณ,น่ารักมากคะ,Positive
