User,Message,Sentiment
n***e,กางเกงราคาไม่แพง คุณภาพเหมาะสมกับราคา มีเชือกรูดให้ ออกแนวผ้าร่ม,Positive
พงศ์ขจร ศ.,กางเกงผ้าร่ม มีซิป ขนาดพอดี,Positive
0***5,ได้รับสินค้าแล้วส่งไวค่ะ เคยซื้อแบรนด์นี้มาจะเป็นผ้าหนาๆกว่านี้ค่ะ แต่รุ่นนี้ เป็นแบบบางเป็นคนละแบบแต่ก็ ดีนะคะซักง่าย,Positive
C***.,"เอวยางยืดทรงพอดี, เหมาะสำหรับกิจกรรมกีฬา, ผ้าสบายและระบายอากาศได้ดี,",Positive
C***.,"ผ้าสบายและระบายอากาศได้ดี, เอวยางยืดทรงพอดี, เอวยางยืดทรงพอดี, เหมาะสำหรับกิจกรรมกีฬา,",Positive
ทิวา ป.,เนื้อผ้าค่อนข้างดี ราคาไม่แพง ซื้อช่วงลดราคา ใช้ได้ แพคส่งโอเค,Positive
0***9,สั่งมาพร้อมกับอักตัวจัดว่าถูกได้มีตัวละ 20 กว่าบาทจากโปรและใช้เหรียญ ถ้าใช้ดีจะสั่งอีกนะ,Positive
ณัฐวุฒิ ว.,สินค้าตรงประกาศครับ จัดส่งรวดเร็วมากครับ ราคาสุดคุ้มนะครับ ใส่ได้พอดี มีซับในให้ด้วยครับ,Positive
แสงไชย ย.,ส่งไว ราคาไม่แพง ใส่สบาย ร้านนี้เลยตรงปก,Positive
กิตติคุณ เ.,"คุณภาพคุ้มค่ากับราคามากๆ  ได้มาในราคาเพียง38บาทเท่านั้น
มีกระเป๋าและซิปทั้ง2ข้างเลย  เอามาใส่เดินเล่นหรือใส่ออกกำลังกายก็ได้  แนะนำสินค้าร้านนี้เลยครับ",Positive
0***4,"มีการแจ้งสถานะของการส่งของแม่นยำดีมาก
คุณภาพของสินค้าที่สั่งถือว่าดีมากครับ 
กางเกงมีกระเป๋าซิปทั้งสองข้าง และ ด้านในมีผ้าซับด้วย",Positive
Sunita S.,ผ้าดีเว่อ งานนิ่ม สีสวยดี ลูกชายวัย 12 ใส่ได้พอดี ชอบๆๆๆ🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻🎁🎁🎁🎁🎁🎁🎁🎁🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘,Positive
มงคล ส.,ได้รับสินค้าแล้วครับลูกชายชอบใส่ได้พอดีตัวเลยครับ👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Positive
art2463,ตงปกดีเยี่ยม,Positive
ชัยเกียริ แ.,สินค้าส่งเร็วสีสวยใส่พอดีพอดีเนื้อผ้าคุ้มราคามากมากครับเดี่ยวมีตังสั่งซื้อหลายตัวแน่นอนครับ,Positive
****7,กางเกงคุณภาพดี ราคาถูก เนื้อผ้านิ่ม ใส่สะบาย ถููกใจ ชอบมากกางเกงคุณภาพดี ราคาถูก เนื้อผ้านิ่ม ใส่สะบาย ถููกใจ ชอบมากกางเกงคุณภาพดี ราคาถูก เนื้อผ้านิ่ม ใส่สะบาย ถููกใจ ชอบมากกางเกงคุณภาพดี ราคาถูก เนื้อผ้านิ่ม ใส่สะบาย ถููกใจ ชอบมาก,Positive
ทศวร ว.,ของส่งเร็วได้มาในราคาสมกับสินค้าการเย็บมีเชือกไม่ได้ตัดมากมายต้องมาตัดเองงานไม่ค่อยเรียบร้อยคับแต่พอรับได้ ของส่งเร็วได้มาในราคาสมกับสินค้าการเย็บมีเชือกไม่ได้ตัดมากมายต้องมาตัดเองงานไม่ค่อยเรียบร้อยคับแต่พอรับได้,Positive
n***b,ดีค่ะใส่สบายๆดีงามพระรามแปด,Positive
ธงชัย ช.,หีบห่อสินค้าไม่มีอะไรพิเศษ  แค่ใส่ถุงพลาสติก สินค้าไม่เสียหาย ตรงปก ขอตินิด ขากว้างไปหน่อย,Positive
S***.,คุ้มเกินราคาซื้อเลย👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Positive
อ***.,ดีๆๆๆๆๆๆๆๆๆๆๆๆนะๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๅๅๅๅๅๆๆๆๆๆๆๆๆๆๆๅๅๅๅๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,Positive
Ekachai I.,กางเกงดีมาก​ใส่สบายดูเท่ห์ดี​ คุ้มค่าคุ้มราคามากครับ,Positive
ส***.,เคยสั่งแล้วใส่สบาย,Positive
ภิภพ,ตามราคาไม่หวังอะไรมากจากสินค้า,Positive
9***1,สินค้าคุณภาพดีค่ะ จัดส่งรวดเร็ว ถูกใจมากๆค่ะ,Positive
