User,Message,Sentiment
L***.,สินค้าคุณภาพดีมาก ตรงพนักงานขนส่งสินค้าบริการดี ใช้เวลาในการจัดส่งไม่นานเกิน มีส่วนลดค่าจัดส่งด้วย,Positive
แก้วเยติByUngIngShop,ดีค่ะ สวยตรงปก ส่งไว แต่ยังไม่ได้ลองง่าดีมั้ย ถ้าดีเดี๋ยวจะซื้อเพิ่มอีกนะคะ แนะนำๆค่า,Positive
*******652,ได้รับสินค้าแล้ว ส่งเร็วมาก แพคมาอย่างดีไม่เสียหาย สีสวย สมราคา แถมหลอดมาให้ด้วย ต้องลองว่าเก็บความเย็นได้นานมั้ย,Positive
suriyon B.,แพคของมาบอบบางไปหน่อยนะจ๊ะยังดีที่ไม่บุบสลายมากกเปิดมาแล้วแต่ก็โอเคสินค้ายังไม่มีรอยบุบรอบหน้าแพ็คให้ดีดีกว่านี้หน่อยนะจ๊ะ,Positive
*******697,ตรงปกได้ราคามาคุ้มมากกก,Positive
D***.,ดีมากคะ😂📣🤢🥴🤮😋📯⭐🍾🍾🤗🐏🥳😉😅😁🙂😏♥️🎀😆🥲🤤🙏💸😚👃🥶🥶😉🤭📢🤔📯😏😌🤣🤗😁,Positive
สุวรรณี ร.,ส่งเร็ว แกะออกมาสภาพกล่องบุบ แต่สิ้นค้าด้านในไม่เสียหาย ของลองใช้ก่นแล้วจะมาบอกว่าเวิคไหมละกันนะคะ,Positive
0***4,ได้รับสินค้าแล้วนะคะ แพ็คสินค้ามาอย่างดี ราคาดีย์คุณภาพดี ดีมากค่ะ แนะนำเลยค่าาา 😊😊,Positive
0***4,ได้รับสินค้าแล้วนะคะ แพ็คสินค้ามาอย่างดี ราคาดีย์คุณภาพดี ดีมากค่ะ แนะนำเลยค่าาา 😊😊,Positive
8***3,สินค้าส่งเร็วบรรจุมาก็ดีมากแก้สีสวยตามสั่งชอบมากแถม แถมหลอดด้วย ชอบมากๆเลยค่ะ สีสวยมากๆขอบคุณนะคะที่ส่งไว,Positive
Tiffany,สินค้าจัดส่งไวมากจริงๆ วันเดียวถึง คุณภาพดูโอเค ไม่ก๊องแก๊ง ชอบๆ สีสวยถูกใจมากกกกกกกกก,Positive
ชนัญชิดา เ.,สินค้าสวยดี เก็บความเย็นได้ดี สีสวยตรงปก สั่งเป็นครั้งที่ 2 แล้วค่ะ👍👍👍👍👍👍👍👍👍👍,Positive
9***0,ตรงปกครับและใช้ดีด้วยครับ,Positive
Boo'ii B.,ได้รับสินค้าครบถ้วนสมบูรณ์เรียบร้อยดี การจัดส่งรวดเร็วใช้ได้ สินค้าดูดีมีคุณภาพ ใช้ได้ตามความเป็นจริง ถ้ามีโอกาสจะอุดหนุนอีกแน่นอนจ้าาาาาาาาาาาาา,Positive
Max M.,ส่งเร็วดี แต่ที่ฝามีไอน้ำพอสมควรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรรร,Positive
Max M.,เก็บความเย็นได้ดีมากกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก,Positive
Somying R.,ดีงาม เก็บความเยนดีมากๆๆ,Positive
P***.,"ได้รับสินค้าแล้ว สินค้ามีปัญหา ทางร้านส่งมาให้ใหม่ ไม่ยึกยัก ไม่ลีลา 
รับผิดชอบ ยอดเยี่ยมครับ",Positive
KenDo K.,สินค้าตรงปกดีครับ น้ำหนักเบา ต้องรอดูระยะยาวครับวว่าจะเก็บความเย็นได้ดีแค่ไหน,Positive
T***.,ส่งเร็วมาก สั่งวันที่19 วันที่20 ได้รับของแล้ว เร็วทันใจ เก็บความเย็นยังไม่ไดเลอง ใครรีบสั่งเลยเพราะส่งเร็วสุดดดดดดด,Positive
N***e,ส่งเร็วทันใจ สินค้าตรงปก,Positive
*******459,สีสวยสดใส  สภาพดี ไมมีรอย แต่ฝาปิดหลวม ปิดไม่ได้,Positive
T***8,ได้รับสินค้าแล้วคะ สวยดีคะ คุณภาพก็ดีเลย เก็บความเย็นได้นานกว่า8ชั่วโมง สุดจริงคะ,Positive
Tang T.,พอรับได้เก็บความเย็นยังไม่ได้ลองมีตำหนิบุหลายจุดอยู่ชอบเหมือนกันขอลองใช้ดูก่อนแล้วจะมารีวิวให้ใหม่,Positive
S***.,"สินค้าคุณภาพดีราคาย่อมเยาส่งไว
สินค้าคุณภาพดีราคาย่อมเยาส่งไว
สินค้าคุณภาพดีราคาย่อมเยาส่งไว
สินค้าคุณภาพดีราคาย่อมเยาส่งไว
สินค้าคุณภาพดีราคาย่อมเยาส่งไว
สินค้าคุณภาพดีราคาย่อมเยาส่งไว
สินค้าคุณภาพดีราคาย่อมเยาส่งไว
สินค้าคุณภาพดีราคาย่อมเยาส่งไว",Positive
พนมภรณ์ ต.,แก้วถุงใส่มาในถุงพลาสติก โดนทับจนกล่องกระดาษด้านในบุบแตก แต่ตัวแก้วไม่เป็นไร ตอนแรกเกือบจะไม่รับของเพราะคลำดูแล้วทำไมกล่องแตกบุบ น่าจะใสแพคกิ้งที่แข็งแรงกว่านี้,Positive
ณัฐพงษ์ พ.,ได้รับสินค้าแล้ว จัดส่งเร็วใช้ได้ ของดีราคาถูก ตรงปก สีมัวๆหม่นๆไปนิด แต่ก็ใช้ได้ โดยรวมถือว่าผ่าน ร้านนี้แนะนำเลยครับ,Positive
K***b,สินค้าตรงปก สีสวยเหมือนรูปปก เก็บความเย็นได้ ลองใส่น้ำแข็งเหงื่อยังไม่ออกรอบแก้ว ลองใช้แล้ว,Positive
ศ***.,ได้รับสินค้าตรงปกคุณภาพสินค้าน่าจะดี ไม่มีตำหนิใดๆ ยังไม่ได้ลองใช้ ขนส่งดีโทรแจ้งก่อนจัดส่ง เดี๋ยวสั่งซื้อเพิ่มอีก,Positive
p***s,ดีค่ะ บางไปหน่อย แต่โดยรวมถึงว่าโอเค สมกับราคาค่ะ ยังไม่ได้ลองใช้ แต่ก็คิดงฝว่าต้องดีล่ะ,Positive
K***.,"สีสวยดีค่ะ คุณภาพตามราคา แก้วใหญ่จุใจ ขนส่งถือว่าเร็ว สั่งมาสี่สี  สวยทุกสีเลยค่ะ 😄😄😄😄

ตอนแกะมีหนึ่งชิ้นที่ฝาแตก แม่ค้ารับผิดชอบดีมากเลยค่ะ ตอบไว ยินดีให้เคลมสินค้า ขอบคุณนะคะ",Positive
แ***.,"ได้รับสินค้าถูกต้อง ครบตรงตามที่สั่ง
สีหวานน่ารัก แต่ฝาดูบางไปหน่อย
แพคของมาดี สินค้าไม่มีเสียหาย
ยังไม่ได้ลองว่าจะมีไอน้ำเก่ะมั้ย
ระยะเวลาส่งรอไม่นาน
สั่ง 14 ได้รับของ 18",Positive
ปวีณา เ.,"จัดส่งสินค้าได้รวดเร็วทันใจมาก ส่งฟรี เก็บปลายทาง
คือถูกใจมากเลยค่ะ ราคาก็ถูก ส่วนลดเยอะ เหมาะแก่การนำมาขายต่อ กำไรงามมากมากเลยค่ะ👍👍😘😘",Positive
อรณิชชา ข.,ใช้ดีมากกก น้ำแข็งไม่ละลายละลายช้า ซื้อมาแก้วที่2แบ้วใช้ดีมากกก น้ำแข็งไม่ละลายละลายช้า ซื้อมาแก้วที่2แบ้ว,Positive
น***.,แก้วใช้ดีมากชอบมากเลยน้ำเเข็งไม่เกาะข้างแก้วใชดีมากได้รับของมื้อวานวันนี้สั่งไปอีก1แก้วแล้วของใช้ดีจริงมาก,Positive
0***7,ของตรงปก เก็บความเย็นได้ดี,Positive
อำภา ค.,ได้รับสินค้าแล้วๆๆๆๆ  สีสวยๆๆๆๆๆๆ  การจัดส่งเร็วๆๆๆๆ สินค้าราคาถูกๆๆๆๆๆ คุณภาพยังไม่ได้ลองใช้,Positive
Worrapong S.,"ได้รับสินค้าตรงตามคำสั่งซื้อ
สินค้าเป็นของแท้
สินค้ามีคุณภาพดีสมราคา
แพ็คสินค้ามาอย่างดี 
สินค้าที่ส่งมาถึงไม่มีความเสียหายใดๆ 
สิ้นค้าส่งมาถึงรวดเร็วมาก",Positive
0***9,น่ารักมากเลยค่ะ แก้วใหญ่ราคาถูก เห็นรีวิวในติ๊กต่อกว่าใช้ดีเลยสั่งมาค่ะ​💖💖💖💖💖💖💖💖,Positive
หทัยชนก ท.,ดีมากๆๆๆเลยค่ะจัดส่งไวไม่ช้าเลย   มาทันใช้พอดี  สีสวยใช้ได้  น่าจะเก็บน้ำเเข็งได้ดี  ชอบมากๆเลยค่ะ,Positive
แก้วเยติByUngIngShop,ส่งเร้วอยุ่ค่ะ​ ได้รับสินค้าครบถ้วน​ สินค้าราคาดี​ ราคาถูก น่าจะใช้ดีสีสวยแพ็คใส่กล่องมาเรียบร้อย,Positive
พ***์,"แก้วสวยงาม  ตรงปก  เป็นสแตนเลส สีทอง แบบไม่เคลือบ
อาจจะทำให้เก็บความเย็นได้น้อยกว่าแบบเคลือบ
เพราะเคยสั่งแบบเคลือบมา  จะเก็บความเย็นได้นาน
ร้านค้าจัดส่งมา  ฝาปิดแตก  น่าจะเพราะจากขนส่งกระแทก
แจ้งแอดมินร้านค้าไปรับผิดชอบดี จัดส่งฝามาให้ภายหลัง
ถือว่าบริการดี  แนะนำร้านนี้ค่ะ",Positive
Narinthorn P.,สีม่วงสวยงาม แต่สีจะเข้มกว่าในรูป การใช้งานดี เก็บความเย็นได้ดีเมื่อเทียบกับราคา มีรอยแตกนิดหน่อย ไม่มีผลต่อการใช้งาน แต่ขอหัก1ดาว เนื่องจากเเพ็คไม่ค่อยดี,Positive
อิชยา พ.,สวยงามมาก,Positive
