User,Message,Sentiment
อ***า,เย็บไม่ดีไม่โพ้งริมผ้า,Neutrally
ณัฐปภัสร์ ห.,เนื้อผ้าบางค่ะ งดใส่เสื้อในมีลายค่ะ ถ้าไม่อยากโชว์,Neutrally
ราตรี บ.,ดีค่ะ,Neutrally
C***.,ต้องบวกเพิ่มอีกไซร์จะพอดี,Neutrally
วิภา ข.,ดีมากเลยค่ะ,Neutrally
Joe S.,ดีสมราคา แต่พอเปิดกล่องออก หูฟังไม่ได้อยู่ในช่อง เหมือนกับมีการแกะออก,Neutrally
ร***.,ผ้าบางมากเลยค่ะ,Neutrally
กีระติ แ.,สั่งรอบที่สองชุด ทำไมได้อุปกรณ์เสริมมาชุดเดียว ได้ไม่ครบนี่,Neutrally
p***k,ชอบความหลากหลายของสี ผ้าคุณภาพสูง เหมาะสำหรับการสวมใส่ในช่วงฤดูร้อน กางเกงขาสั้นคุณภาพดีมาก,Neutrally
B***.,ซื้อ ดังเบา ดังดี หักดาว,Neutrally
ทองตื่ม,สั่งสินค้าไป แต่ส่งมาให้แค่,Neutrally
F***.,เนื้อผ้าไม่ดีเท่าไหล่,Neutrally
apichai A.,สินค้าตรงตามที่สั่งแต่ว่ายางยืดที่เอวดูเหมือนจะใช้ยางยืดที่ไม่ได้คุณภาพยางมันจะย้วยๆไม่รัดเอวไม่นานคงต้องเปลี่ยนยางยืดใหม่ถ้าทางร้านได้อ่านรีวิวนี้กรุณาแก้ไขในส่วนนีด้วยจะดีมากเลย,Neutrally
Patsaya U.,สภาพกล่องมาแบบยับเยินมาก แต่ก้อสมราคา,Neutrally
0***3,บางมากกจ้า เเต่ก็เข้าใจค่ะ สมราคาบาท,Neutrally
6***7,ช้ามากกรอนานนน สีก็โอเคดีที่สั่งขนาดใหญ่,Neutrally
กาญจนา แ.,ไม่หนาไม่บาง พอดีๆ สมราคา,Neutrally
*******034,สินค้าไม่เหมือนในรูป แต่เหมาะสมกับราคา,Neutrally
ชุมพล เ.,ได้รับสินค้ารวดเร็วดี พนักงานสุภาพ แต่สินค้าค่อนข้างแย่ไม่ตรงปก ตัวเล็กนิดเดียวน่าจะเหมาะกับเด็ก ผ้าก็บางมาก เสียดายเวลา,Neutrally
คุณนราภัทร,คุณภาพตามราคา,Neutrally
น***.,กางเกงขายาวทรงไม่สวย ขาสั้นพอได้อยุ่,Neutrally
Somboon P.,ตามราคา,Neutrally
Butter F.,ลมเบา เสียงดัง สมราคา,Neutrally
Kat,สะดวกสำหรับการเดินทาง,Neutrally
G***.,เอวเล็กไปหน่อยค่ะ ใส่ไม่ได้,Neutrally
บ***.,ใส่วันแรกเป้าแตกจ้า,Neutrally
หทัยชนก ท.,ไม่ค่อยชอบ การออกแบบ,Neutrally
แหม่ม พ.,ได้เสื้อผ้ามาไม่ตรงปกสั่งลายเสือได้ลายดอกไม้ไม่รู้ดอกอะไรด้วยไม่ชอบ,Neutrally
Rung84,บางมากสมราคา,Neutrally
0***0,เนื้อผ้าโอเครแต่เล็กไปหน่อย,Neutrally
ไอซ์ ค.,วัสดุเสื้อยืดดีแต่ผ้าบ้างมาก ขนาดพอดี การออกแบบสวย,Neutrally
9***2,ปานกลาง,Neutrally
m***t,สินค้าตามราคา,Neutrally
p***k,ชอบความหลากหลายของสี ผ้าคุณภาพสูง เหมาะสำหรับการสวมใส่ในช่วงฤดูร้อน กางเกงขาสั้นคุณภาพดีมาก,Neutrally
Chuleeporn B.,คุณภาพ สมราคา,Neutrally
สุวิมล เ.,ได้รับของแล้วค่ะ แต่ขาสั้นสีได้ไม่ตรงที่สั่ง,Neutrally
T***.,ผ้าบางไปหน่อยค่ะ,Neutrally
วันวิสา. ก.,ตัวเล็กกว่าที่คิดเยอะเลยรอนาน,Neutrally
Sㅇ S.,สั่ง ไม่ตรงเหมาะสำหรับใช้ทุกวัน รองรับบัตรหลายใบอย่างปลอดภัย กระเป๋าสะดวกและเบา,Neutrally
ภูวนัย ม.,ตามราคา,Neutrally
สุนันท์ ค.,สั่งสีครีมได้สีม่วงเฉ๊ย,Neutrally
0***5,ผืนใหญ่,Neutrally
Suriya V.,ผ้าบางเกินไป โป๊ เนื้อผ้าไม่ดี ลายไม่สวยอย่างที่คิด,Neutrally
0***2,สีไม่เหมือนในรูปสีเข้มมากเหมือนสีดำเลย ผ้าก็ไม่เหมือนในรูปเซงเลยเรสไม่ชอบสีเข้มขนาดนี้ สีน่าจะซีดกว่านี้หน่อยจะสวย,Neutrally
N***.,สีจริงกับในรูปไม่เหมือนกันเลย และ เนื้อผ้าบางมาก แต่ก็ใช้ได้ไม่มีปัญหาอะไรมาก,Neutrally
ฟ้า ไ.,ดีนิดหน่อยค่ะแต่สีดําไม่เหมือนในรูป,Neutrally
ค***.,พอใช้ได้ไม่ได้ถึงกับดีมากตามราคาครับรวมๆก็โอเคครับใช่กับรองเท้าหนังสีขาวดีอยู่ครับ,Neutrally
สุพัตรา น.,แพคมาให้ไม่ดีฝาหลุดเลอะเทอะหมดเลย ผิดหวังจริงๆค่ะ,Neutrally
เ***.,ไม่เป็นอย่างที่คิด,Neutrally
Chan.K,โอเค,Neutrally
นิสารัตน์ น.,ส่งมาผิดสีค่ะ,Neutrally
อัญรัตน์,แก้วสวย แต่ยังมีไอน้ำเกาะ,Neutrally
แดนนี่ ห.,ดีแต่ด้ามจับสั้นไปหน่อย,Neutrally
จิราพร,เนิ้อผ้าดี ราคาถูก,Neutrally
พัฒนา อ.,ลองสักดูก็พอใช้ได้แต่ว่าคิดว่าคงไม่สะอาดเท่ากับ เอาไปสักด้วยผงซักฟอกเอง เห็นง่าย กลิ่นไม่แรง แม่ซักตั้งแต่ผ้าใบซักรองเท้าหนังไม่ได้ หรือเปล่า,Neutrally
w***a,ลายสวย เนื้อผ้าตามที่เห็นเลยค่ะ บาง,Neutrally
C***.,กำจัดแบคทีเรียและกลิ่นไม่พึงประสงค์ ป้องกันรองเท้าจากแสงแดดเอียง ไม่ต้องกังวลเรื่องรองเท้าสกปรกอีกต่อไป,Neutrally
Kat K.,เวลาใช้เป็นขน,Neutrally
Lalita P.,สมราคาใส่สบาย,Neutrally
