User,Message,Sentiment
Orachorn,รองเท้านุ่ม,Positive
Kanakorn P.,คุณภาพดีๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,Positive
ต***.,จัดส่งรวดเร็ว ห่อแพคสินค้าอย่างดี บีบเบิลหลายชั้น แต่แกะออกมาลองใช้ปรากฎว่า ขาตั้งกล้องหลุดออกจากกัน ไม่ได้ถ่ายวีดีโอไว้เลยเคลมไม่ได้ จบ,Positive
Sujin H.,รูปลักษณ์ภายนอกดูดีมาก แต่คุณภาพแย่มากๆๆๆๆๆบีบออกมาเป็นน้ำล้วนๆไม่มีโฟมไม่มีฟองแย่จริงๆไม่สนับสนุนร้านนี้ค่ะ เขย่าเป็นร้อยครั้งแล้วค่ะยังไม่มีฟอง ของหมดอายุหรือเปล่าก็ไม่รู้ ไม่ระบุวันเดือนปีที่ผลิตด้วยแย่จริงๆๆ,Positive
ส***.,ส่งเร็วตรงตามกำหนด วัน สินค้าครบ ถูกต้อง เรียบร้อย กางเกงช้างสีและลายสวย ผ้าพริ้วเบาบาง ราคาไม่แพง,Positive
noklucky,แม่ค้าน่ารักมาก ดูแลดี ส่งของเร็ว จะอุดหนุนอีกแน่นอนค่ะ,Positive
กชพร ส.,วัสดุดี ขนาดใหญ่มากสำหรับเรา เป็นคนเท้าผอมเลยไม่เหมาะกับรองเท้าแบบนี้ดีนะไม่สั่งเพิ่มไซส์ไปอีก ขนาด ยังใหญ่เลย แต่เอาไว้ใส่เล่นๆ ในบ้านได้ นิ่มมากใส่สบายค่ะ การออกแบบสวยงามค่ะ,Positive
C***.,ตามราคา,Positive
ยุพิน ส.,วัสดุดีงามมาก ขนาดพอดีไชค์ เนื่้อผ้าดีมากมากคะ,Positive
เฟิร์ส ฯ.,เนื้อผ้านุ่ม ใส่สบายมาก,Positive
